source,subject_length,matched_bases,similarity
ensembl,39995047,39875754,0.9970173056678743
ensembl,33828344,33827820,0.9999845100309965
ensembl,38243929,38222592,0.999442081382381
ensembl,39530113,39177997,0.9910924615874486
ensembl,24337763,24318845,0.9992226894476702
ensembl,25972395,25351018,0.9760754832197801
ensembl,37511876,37479609,0.9991398190802294
ensembl,17503998,17458780,0.997416704458033
ensembl,2290528,2290525,0.999998690258316
ensembl,17325407,17323972,0.9999171736629333
ensembl,34747975,34728677,0.9994446295071872
ensembl,44215803,44192814,0.9994800727694576
ensembl,11371246,11337972,0.9970738474921745
ensembl,26209327,26076223,0.994921502562809
ensembl,26864015,26621678,0.990979122070919
ensembl,34433519,34253871,0.994782758044567
ensembl,28257496,28257491,0.9999998230558008
ensembl,37847960,37847954,0.9999998414709802
ensembl,32440129,32440125,0.999999876695928
ensembl,27718211,27718208,0.9999998917679067
ensembl,32375103,32375093,0.9999996911206738
ensembl,33205847,33205762,0.9999974402098522
ensembl,28248805,28248539,0.9999905836724775
ensembl,8396240,8396236,0.9999995235962764
ensembl,7661456,7648611,0.998323425730044
ensembl,30858562,30835818,0.9992629598229497
ensembl,34688880,34633004,0.9983892244431068
ensembl,32474431,32433643,0.9987439964690991
ensembl,36722552,36639224,0.9977308766558489
ensembl,33447075,33428698,0.9994505648102263
ensembl,35416444,35398635,0.9994971544856395
ensembl,35663374,35659035,0.9998783345625122
ensembl,36099954,36081866,0.9994989467299599
ensembl,35280331,35270210,0.9997131262742405
ensembl,34792412,34792408,0.999999885032403
ensembl,35850703,35841172,0.9997341474726451
ensembl,33437983,33426260,0.9996494106716903
ensembl,36947918,36927060,0.9994354756335662
ensembl,36513906,36501040,0.9996476410932317
ensembl,35607567,35607565,0.9999999438321635
ensembl,36471649,36443161,0.9992189001380223
ensembl,38901049,38766885,0.9965511469883499
ensembl,35853610,35831091,0.9993719181973586
ensembl,37477200,37452434,0.9993391715496355
ensembl,36720365,36720365,1.0
ensembl,34054866,34021062,0.9990073665243611
ensembl,31096189,31064323,0.9989752442011464
ensembl,38464024,38087283,0.990205366968365
ensembl,48876257,48620333,0.9947638379919314
ensembl,37780514,37764952,0.9995880945399526
ensembl,37780514,36112568,0.9558516858717169
ensembl,24148100,24121638,0.9989041787966755
ensembl,33943449,32801385,0.9663539200156118
ensembl,33943449,33943360,0.9999973779918475
ensembl,33943449,32647084,0.9618080943984213
ensembl,16615586,16613395,0.9998681358575014
ensembl,30363635,30363624,0.9999996377245346
ensembl,17184282,17163542,0.998793083120959
ensembl,3066400,3057459,0.9970842029741717
ensembl,26244175,26237585,0.9997488966599255
ensembl,45341896,44221259,0.9752847344539805
ensembl,33729052,33720529,0.9997473098265555
ensembl,29503487,27607294,0.9357298681338921
ensembl,4276041,4061246,0.9497677875399231
ensembl,4276041,4228800,0.9889521639292046
ensembl,46292722,45696080,0.9871115377488496
ensembl,7595203,7575361,0.9973875615964445
ensembl,33030326,30657909,0.9281745811409794
ensembl,40168528,40141857,0.9993360224701289
ensembl,40168528,37993529,0.9458531564811138
ensembl,29273723,29256891,0.9994250133472944
ensembl,29273723,26039124,0.8895050349420878
ensembl,38224514,37921400,0.9920701673276997
ensembl,19330111,19315155,0.9992262848361295
ensembl,11913776,11154706,0.9362863629465586
ensembl,29828291,29817166,0.9996270319342131
ensembl,36458046,36223671,0.9935713779065395
ensembl,36458046,36219547,0.9934582615864822
ensembl,37769732,37769633,0.9999973788535221
ensembl,18916112,18916013,0.9999947663663653
ensembl,34986079,34974520,0.999669611447456
ensembl,14282666,14136137,0.9897407808878258
ensembl,14282666,14154046,0.9909946784444865
ensembl,14282666,14275102,0.9994704069954446
ensembl,36192590,36192582,0.9999997789602789
ensembl,20432448,20414922,0.9991422466852724
ensembl,46148878,45328013,0.9822126769799258
ensembl,29016019,29015830,0.9999934863566226
ensembl,31780469,31349902,0.9864518361890757
ensembl,35229797,35229789,0.9999997729194977
ensembl,30105809,30105789,0.9999993356763806
ensembl,33639795,33586420,0.9984133375366884
ensembl,40328194,38734722,0.9604873949971575
ensembl,32356048,31769820,0.9818819653129455
ensembl,32356048,31030162,0.9590220041705959
ensembl,12928838,12928836,0.999999845307057
ensembl,19699782,18519631,0.9400931949399237
ensembl,12181948,12155784,0.99785223184338
ensembl,2497519,2496719,0.9996796821165325
ensembl,10729447,10689156,0.9962448204460118
ensembl,30229310,29649851,0.9808312197665113
ensembl,30229310,30225874,0.9998863354803665
ensembl,30229310,29701044,0.982524708635427
ensembl,30229310,29593638,0.9789716669020894
ensembl,30229310,29614601,0.9796651329454757
ensembl,30229310,29091853,0.962372379654051
ensembl,10609954,10574534,0.9966616254886684
ensembl,14630139,14576106,0.9963067336544102
ensembl,17550122,17285884,0.9849438083678279
ensembl,31539044,31396775,0.9954891150156612
ensembl,26979746,26898520,0.9969893712120196
ensembl,15441179,15441079,0.9999935238105847
ensembl,29384958,28810137,0.9804382568795913
ensembl,31377515,31369715,0.9997514143487781
ensembl,38571925,35744398,0.9266946879109611
ensembl,38571925,35645913,0.9241414059578307
ensembl,38571925,35526530,0.9210463309777772
ensembl,22349738,22170256,0.9919693913190392
ensembl,30174856,30160730,0.999531861891901
ensembl,38369625,34900748,0.909593148225973
ensembl,31405760,31388117,0.9994382240709985
ensembl,12500424,10874432,0.8699250521422314
ensembl,44000513,42166829,0.9583258495190726
ensembl,29023283,24745032,0.8525924513777439
ensembl,18374760,18361704,0.9992894601072341
ensembl,12128633,11713217,0.9657491491415396
ensembl,12128633,11751590,0.9689129846702427
ensembl,12128633,11749728,0.9687594636592599
ensembl,12128633,11750713,0.9688406764389689
ensembl,12128633,11749232,0.9687185686960764
ensembl,12128633,11751417,0.968898720902842
ensembl,28198338,28198338,1.0
ensembl,28198338,27825071,0.9867628014104944
ensembl,47745773,47092675,0.986321344090502
ensembl,37908251,37908241,0.9999997362051866
ensembl,5690748,5690705,0.9999924438755678
ensembl,30945974,30945953,0.9999993213979951
ensembl,27317772,27309921,0.9997126046736169
ensembl,30863694,30477191,0.9874770984963757
ensembl,12591275,12590729,0.9999566366392602
ensembl,37536239,34897440,0.9296999627479994
ensembl,10450160,10450160,1.0
ensembl,61386934,59942721,0.9764736091885612
ensembl,33395713,33348936,0.998599311234948
ensembl,33395713,33348936,0.998599311234948
ensembl,35685443,35559730,0.9964771909935376
ensembl,28193268,27895916,0.9894530850414361
ensembl,30483324,30282866,0.9934240111084999
ensembl,43694574,40734888,0.9322642211822456
ensembl,40922052,40002560,0.9775306477788552
ensembl,40922052,39927294,0.9756913949476433
ensembl,40922052,40035138,0.9783267466646101
ensembl,40922052,39435375,0.9636705168157257
ensembl,40922052,40129513,0.9806329604390317
ensembl,40922052,40132836,0.9807141636005936
ensembl,40922052,40690114,0.9943322001545768
ensembl,13314323,13314323,1.0
ensembl,8152740,8152740,1.0
ensembl,40703773,6899166,0.16949696530589436
ensembl,8974371,8974371,1.0
ensembl,35440147,35176537,0.9925618254348663
ensembl,9281121,6921537,0.745765193665722
ensembl,9281121,9281121,1.0
ensembl,64877444,58760312,0.9057125000177257
ensembl,10812555,10736943,0.9930070182301963
ensembl,10812555,10742460,0.9935172584093214
ensembl,10812555,10751184,0.9943240982358009
ensembl,10812555,10812555,1.0
ensembl,9764635,9763373,0.999870758097973
ensembl,9764635,9593275,0.9824509569482116
ensembl,12249773,12091336,0.9870661276743659
ensembl,12249773,12058491,0.9843848534989179
ensembl,12249773,12127896,0.9900506727757322
ensembl,12249773,11968374,0.9770282273802134
ensembl,12249773,12249773,1.0
ensembl,12249773,11965606,0.9768022640093004
ensembl,12249773,12229039,0.9983073972064626
ensembl,17465713,17465713,1.0
ensembl,37771916,37771916,1.0
ensembl,13150648,12532944,0.9530286264220592
ensembl,13150648,12780929,0.9718858720878241
ensembl,32925248,32628576,0.9909895287652807
ensembl,29952540,29468821,0.9838504848002874
ensembl,35047229,35047163,0.9999981168268681
ensembl,32406793,29925695,0.9234389530614769
ensembl,29140916,29140916,1.0
ensembl,39146333,38492769,0.9833045920290925
ensembl,39444728,39340539,0.9973586077206567
ensembl,34718894,34251948,0.9865506660436821
ensembl,32862988,30329931,0.9229206729467205
ensembl,45594472,41026511,0.8998132712228798
ensembl,23272942,23115543,0.993236824119615
ensembl,40901820,38810213,0.9488627400932281
ensembl,12726212,12509527,0.9829733309487536
ensembl,12726212,12515749,0.9834622431246627
ensembl,12726212,12385405,0.9732200752274125
ensembl,12726212,12526322,0.9842930480806071
ensembl,12726212,12525870,0.9842575308347842
ensembl,12726212,12460477,0.979119081153135
ensembl,12726212,12509999,0.9830104197541264
ensembl,12726212,12502029,0.9823841532735743
ensembl,12726212,12725308,0.999928965508354
ensembl,12726212,12541071,0.9854519946705272
ensembl,13445959,13434484,0.9991465837431157
ensembl,23263091,23137673,0.9946087130037878
ensembl,10392862,10390139,0.9997379932495977
ensembl,22530013,22128184,0.9821647240061513
ensembl,32990834,32986940,0.9998819672154999
ensembl,32990834,31106819,0.9428927743990952
ensembl,43437139,43202523,0.9945987234564413
ensembl,37452605,37167528,0.9923883265262857
ensembl,43029152,42968527,0.9985910714670835
ensembl,38744216,38744216,1.0
ensembl,14618422,14618422,1.0
ensembl,47275052,46753733,0.9889726403685394
ensembl,36912256,36912256,1.0
ensembl,28639919,27995368,0.9774946640037634
ensembl,42797233,42405614,0.9908494317845268
ensembl,38670379,38611918,0.9984882227298574
ensembl,21013998,20782474,0.9889823916419903
ensembl,33215161,33132402,0.9975083968432368
ensembl,146773001,135099664,0.9204667280735099
ensembl,146773001,129173678,0.8800915503526429
ensembl,146773001,135581320,0.9237483670446992
ensembl,146773001,126121027,0.859293099825628
ensembl,18761941,18597842,0.9912536234923668
ensembl,32614392,31240351,0.9578701022542441
ensembl,33256298,31070794,0.9342830040794078
ensembl,40016351,40005078,0.9997182901559415
ensembl,13182099,13079936,0.9922498685528003
ensembl,24131112,23907050,0.990714808335397
ensembl,42768949,42768948,0.999999976618551
ensembl,46293325,43149625,0.9320917216466953
ensembl,41656800,38961387,0.9352947658005416
ensembl,29794006,29127487,0.9776290908983505
ensembl,35818201,35810473,0.9997842437703669
ensembl,50358849,50053117,0.9939289319340877
ensembl,50358849,50358814,0.9999993049880866
ensembl,22540967,22540348,0.9999725388888595
ensembl,22224160,22224145,0.9999993250588549
ensembl,38459164,37974198,0.9873901055155541
ensembl,34409167,33215874,0.9653204914841443
ensembl,37178225,34440538,0.9263631601562474
ensembl,42452888,39868980,0.9391346944405761
ensembl,9815586,9798824,0.9982923077644065
ensembl,43013545,38269605,0.8897105551286228
ensembl,14145566,13722166,0.970068359230023
ensembl,23810896,23642157,0.9929133704166362
ensembl,35424414,35186493,0.993283699767059
ensembl,29352103,28922907,0.9853776746422565
ensembl,14136186,14104725,0.997774435056245
ensembl,14136186,14113138,0.9983695743675133
ensembl,21875620,21865644,0.9995439672109865
ensembl,44794008,42891743,0.9575330477237045
ensembl,46511623,45651889,0.9815157170499081
ensembl,42748430,39472742,0.9233729051569847
ensembl,34171901,33075665,0.9679199585647869
ensembl,42968544,41868617,0.9744015761855929
ensembl,33649967,33649687,0.9999916790408739
ensembl,28322806,28313786,0.9996815287298865
ensembl,50716103,50715995,0.9999978704988434
ensembl,11582150,11434673,0.9872668718674857
ensembl,13634488,13556970,0.9943145646539863
ensembl,13634488,13548959,0.9937270105045382
ensembl,7369627,7369620,0.9999990501554556
ensembl,35804080,35651996,0.9957523276676848
ensembl,8150648,8150091,0.9999316618752276
ensembl,15938258,15938258,1.0
ensembl,18111965,18080854,0.9982822957089416
ensembl,18111965,17843435,0.9851738891942425
ensembl,33787447,33787345,0.99999698112734
ensembl,28632918,28464295,0.9941108691751221
ensembl,26376767,26376767,1.0
ensembl,16055203,15681426,0.9767192604167011
ensembl,8874589,8870389,0.9995267386467137
ensembl,46789968,45373418,0.969725347963478
ensembl,19820908,19754895,0.9966695269459905
ensembl,19820908,19820908,1.0
ensembl,4071346,4029641,0.9897564589204652
ensembl,2251784,2251784,1.0
ensembl,32252303,31988390,0.9918172355009811
ensembl,32252303,29301899,0.9085211372347581
ensembl,32252303,29490210,0.9143598210645609
ensembl,32252303,29492951,0.9144448072436874
ensembl,32252303,29032021,0.9001534247027259
ensembl,32912349,32873768,0.9988277652257516
ensembl,31267936,31249344,0.9994053972734241
ensembl,31362097,31327832,0.9989074391294689
ensembl,9669424,9669424,1.0
ensembl,6118689,6034553,0.9862493419750538
ensembl,40980648,40957475,0.9994345379799753
ensembl,13018415,12757993,0.9799958750738857
ensembl,12403110,12346997,0.9954758927398047
ensembl,15221050,15053445,0.9889886045969234
ensembl,13136204,13104062,0.9975531744178151
ensembl,3213516,3149665,0.9801304863582444
fungidb,10966467,10966467,1.0
fungidb,36722552,36639224,0.9977308766558489
fungidb,33447075,33428698,0.9994505648102263
fungidb,37287723,37118757,0.9954685889508458
fungidb,33126810,33121202,0.9998307111369915
fungidb,34792412,34792408,0.999999885032403
fungidb,34381026,34352389,0.9991670696505683
fungidb,7501343,7501326,0.9999977337391451
fungidb,35850703,35841172,0.9997341474726451
fungidb,31350635,31295086,0.9982281379627558
fungidb,26088231,26015987,0.9972307819568141
fungidb,33437983,33426260,0.9996494106716903
fungidb,36513906,36501040,0.9996476410932317
fungidb,34970470,34970468,0.9999999428088899
fungidb,27993362,27782267,0.9924591051264224
fungidb,39420127,39334936,0.9978388958513502
fungidb,35607567,22441900,0.6302564845275724
fungidb,27898422,27888068,0.9996288678979764
fungidb,34054866,34021066,0.999007483981878
fungidb,29828291,29817983,0.9996544220384601
fungidb,14282666,14275102,0.9994704069954446
fungidb,41566958,22591797,0.5435037367901687
fungidb,28781303,28720041,0.9978714653745872
fungidb,45210324,44742810,0.9896591318390021
fungidb,7669689,7654181,0.9979780144931562
fungidb,28991111,28980510,0.9996343361936009
fungidb,43832314,43808410,0.9994546489149535
fungidb,16179376,15922177,0.9841032806209584
fungidb,24551665,24393406,0.99355404205784
fungidb,17799622,17642547,0.9911753743984002
fungidb,23932770,23853137,0.9966726375592964
fungidb,39530113,39177993,0.9910923603987674
fungidb,28257496,28257491,0.9999998230558008
fungidb,37847960,37847954,0.9999998414709802
fungidb,32440129,32440125,0.999999876695928
fungidb,32375103,32375103,1.0
fungidb,33205847,33205847,1.0
fungidb,8396240,8396236,0.9999995235962764
fungidb,7661456,7661454,0.9999997389530136
fungidb,34688880,34633004,0.9983892244431068
fungidb,32474431,32433643,0.9987439964690991
fungidb,36722552,36639224,0.9977308766558489
fungidb,33447075,33428698,0.9994505648102263
fungidb,34792412,34792408,0.999999885032403
fungidb,35850703,35841172,0.9997341474726451
fungidb,33437983,33426260,0.9996494106716903
fungidb,36513906,36501040,0.9996476410932317
fungidb,35607567,35607565,0.9999999438321635
fungidb,34054866,34021066,0.999007483981878
fungidb,29828291,29817983,0.9996544220384601
fungidb,14282666,14275102,0.9994704069954446
fungidb,19664356,19642058,0.9988660701626842
fungidb,36192590,36192579,0.9999996960703834
fungidb,29016019,29015830,0.9999934863566226
fungidb,10729447,10689156,0.9962448204460118
fungidb,12181948,12155784,0.99785223184338
fungidb,12591253,12590859,0.9999687084359277
fungidb,10609954,10574534,0.9966616254886684
fungidb,14630139,14576106,0.9963067336544102
fungidb,34886939,34338382,0.9842761498794721
fungidb,37213987,36836958,0.9898686211719265
fungidb,29384958,28810136,0.9804382228485744
fungidb,31377515,31369707,0.9997511593891358
fungidb,42630066,42630066,1.0
fungidb,41844914,41754163,0.9978312537576252
fungidb,22349738,22170256,0.9919693913190392
fungidb,29364022,29230830,0.9954641091060346
fungidb,27859441,27853105,0.9997725726083305
fungidb,41102378,41069139,0.9991913119965954
fungidb,18374760,18361704,0.9992894601072341
fungidb,16086460,15820070,0.9834401105028702
fungidb,11733154,11136751,0.9491694219644607
fungidb,39022666,39020883,0.9999543086061828
fungidb,8954998,8954988,0.9999988833051666
fungidb,33395713,33348936,0.998599311234948
fungidb,35685443,22555459,0.6320633037958924
fungidb,11634473,11263711,0.9681324628971162
fungidb,29952540,29469054,0.9838582637732893
fungidb,37912014,37117692,0.9790482774141199
fungidb,39146333,38492769,0.9833045920290925
fungidb,34718894,34252174,0.9865571754676287
fungidb,23272942,23115542,0.9932367811512615
fungidb,23263091,23137674,0.9946087559903368
fungidb,12157105,12157105,1.0
fungidb,22530013,22128128,0.9821622384327963
fungidb,14618422,14618422,1.0
fungidb,13031138,13030995,0.9999890262845809
fungidb,38670379,38611919,0.9984882485894436
fungidb,43768664,40985908,0.9364212716202623
fungidb,24131112,23907050,0.990714808335397
fungidb,50358849,44779829,0.8892147038547287
fungidb,35424414,35186500,0.9932838973708923
fungidb,50716103,22484710,0.4433445921505444
fungidb,35804080,35651999,0.9957524114570183
fungidb,26376767,26376767,1.0
fungidb,32268578,32216582,0.9983886491682404
fungidb,32990834,32986940,0.9998819672154999
fungidb,38719388,38166563,0.9857222691639651
fungidb,12249773,12249773,1.0
fungidb,12580400,12580392,0.999999364090172
fungidb,13314323,13314244,0.9999940665402214
fungidb,13093275,13093275,1.0
fungidb,12591275,12590729,0.9999566366392602
fungidb,11697257,11697256,0.9999999145098718
fungidb,13445959,13434482,0.9991464349995415
fungidb,32912349,32873768,0.9988277652257516
fungidb,46292722,44746914,0.9666079691749385
fungidb,8150648,8150091,0.9999316618752276
fungidb,7369627,7369627,1.0
fungidb,30363635,30363624,0.9999996377245346
fungidb,30105809,30105789,0.9999993356763806
fungidb,43437139,43204414,0.9946422576311944
fungidb,12092683,12075325,0.9985645865355107
