genome_id,name,refseq_acc,bv_assembly_accession,subject_length,bv_len,sim,same_assembly
653045.19,Streptomyces violaceusniger Tu 4113,GCF_000147815.2,GCA_000147815.3,11138313,290055.0,0.03097794073483121,True
663951.76,Staphylococcus aureus subsp. aureus TW20,GCF_000027045.1,GCA_000027045.1,3075806,29585.0,0.01496550822776209,True
665029.13,Erwinia amylovora CFBP1430 strain CFPB1430,GCF_000091565.1,GCA_000091565.1,3833832,28259.0,0.007370954178482521,True
667015.7,Bacteroides salanitronis DSM 18170,GCF_000190575.1,GCA_000190575.1,4308663,40303.0,0.009353945759972409,True
67258.3,Streptomyces cavourensis strain YBQ59,GCF_030027225.1,GCA_003260065.1,8126002,10232294.0,0.4536223348209858,False
682634.13,Serratia plymuthica 4Rx13,GCF_000176835.2,GCA_000176835.2,5403731,75721.0,0.014025864721985606,True
695562.17,Lactobacillus amylovorus GRL1118,GCF_000194115.1,GCA_000194115.1,1977087,78145.0,0.04570410912620436,True
69967.3,Macrococcus equipercicus strain ATCC 51831,GCF_004359525.2,GCA_004359525.1,2116155,2195586.0,0.2774862899929353,True
702113.18,Novosphingobium sp. PP1Y,GCF_000253255.1,GCA_000253255.1,5313905,1161602.0,0.22350794754516687,True
70258.7,Staphylococcus piscifermentans strain DSM 7373,GCF_003970555.1,GCA_003970515.1,2633558,2711458.0,0.14222470133560758,False
714.651,Aggregatibacter actinomycetemcomitans strain SL7465,GCF_017160745.1,GCA_017160745.1,2337260,2337260.0,0.05051299384749664,True
714313.9,Lactobacillus sanfranciscensis TMW 1.1304,GCF_000225325.1,GCA_000225325.1,1375770,58739.0,0.05594249038720135,True
745277.9,Rahnella aquatilis CIP 78.65 = ATCC 33071,GCF_000241955.1,GCA_000241955.1,5448900,463906.0,0.08920883114023014,True
74707.3,Staphylococcus schleiferi subsp. schleiferi strain NCTC 12218,GCF_003968865.1,GCA_003968855.1,2473007,2896454.0,0.08882101829877553,False
76114.25,Aromatoleum aromaticum EbN1,GCF_000025965.1,GCA_000025965.1,4727255,223670.0,0.06972608839590841,True
762051.24,Leuconostoc kimchii IMSNU 11154,GCF_000092505.1,GCA_000092505.1,2101787,29616.0,0.018048451151329796,True
76860.45,Streptococcus constellatus AM109-96,GCF_027723325.1,GCA_027723325.1,1821433,1821433.0,0.460993075232523,True
83334.235,Escherichia coli O157:H7 strain JEONG-1266,GCF_001558995.2,GCA_001558995.2,5574593,95910.0,0.025790402994442824,True
861360.22,Glutamicibacter arilaitensis Re117,GCF_000197735.1,GCA_000197735.1,3918192,50407.0,0.025361186996451426,True
86667.3,Jeotgalibacillus marinus strain DSM 1297,GCF_040801915.1,GCF_001274925.1,3521308,4099760.0,0.018755814600710873,False
866895.14,Halobacillus halophilus DSM 2266 strain type strain: DSM 2266,GCF_000284515.1,GCA_000284515.1,4170008,16047.0,0.003848194056222434,True
87626.5,Pseudoalteromonas tunicata D2,GCF_000153245.1,GCA_000153245.1,4994813,1476189.0,0.31083345862998274,True
90105.129,Salmonella enterica subsp. enterica serovar Saintpaul strain SA20031783,GCF_002234735.2,GCA_002234735.1,4906886,131583.0,0.026815988796152997,True
907237.6,Helicobacter pylori Lithuania75,GCF_000185225.1,GCA_000185225.1,1640673,16029.0,0.010123894279969256,True
909946.25,Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,GCF_000188735.1,GCA_000188735.1,5067451,93842.0,0.018969695020237987,True
91891.5,,GCF_000306865.1,,3617686,,0.044681323918106766,False
925775.6,Xanthomonas vesicatoria ATCC 35937 strain LMG911,GCF_001908725.1,GCA_001908725.1,5349905,192558.0,0.039096208250426874,True
93060.21,Prochlorococcus marinus str. MIT 9215,GCF_000018065.1,GCA_949486985.1,1738790,1869531.0,0.006119197832975805,False
977880.27,Cupriavidus taiwanensis LMG 19424 strain LMG19424,GCF_000069785.1,GCA_000069785.1,6476522,557200.0,0.08896240914490833,True
999552.18,Leisingera methylohalidivorans DSM 14336 strain DSM 14336; MB2,GCF_000511355.1,GCA_000511355.1,4650996,285395.0,0.06571538655376181,True
372461.25,Buchnera aphidicola BCc,GCF_000090965.1,GCA_000090965.1,422434,6054.0,0.014331232807965269,True
37329.11,Nocardia farcinica strain NCTC11134,GCF_001182745.1,GCA_001182745.2,6459780,2657929.0,0.4303519624507336,True
375451.4,,GCF_000014045.1,,4331234,,0.024581678108363574,False
382640.9,Bartonella tribocorum CIP 105476 strain type strain:506 = CIP105476 strain type strain:506 = CIP 105476,GCF_000196435.1,GCA_000196435.1,2642404,23343.0,0.04166660359278899,True
387.131,Rhizobium leguminosarum bv. viciae strain BIHB 1217,GCF_002243365.1,GCA_002243365.1,7952546,1169137.0,0.15579463482512393,True
391619.37,Phaeobacter inhibens DSM 17395,GCF_000154765.2,GCA_000154765.2,4227134,261820.0,0.06816367780155538,True
395930.4,Devosia subaequoris strain HST3-14,GCF_024158985.1,GCF_000971285.1,3771230,4147678.0,0.28908791031042924,False
39691.9,Mycolicibacterium moriokaense strain DSM 44221,GCF_025822185.1,GCA_003347205.1,6199988,7123288.0,0.3887023652303843,False
398053.6,Mucilaginibacter ginsenosidivorans JCM 17081,GCF_042429345.1,,5331679,3884661.0,9.73426944870462e-05,False
413503.3,,GCF_000504545.1,,4559945,,0.027882134543289448,False
413999.26,Clostridium botulinum A str. ATCC 3502,GCF_000063585.1,GCA_000063585.1,3903260,16344.0,0.004187269103262401,True
443218.13,Hoyosella subflava DQS3-9A1,GCF_000214175.1,GCA_000214175.1,4863490,106784.0,0.022607222385570856,True
445983.54,Borreliella burgdorferi 156a,GCF_000181555.2,,1469834,53885.0,0.037647108448981316,False
445985.45,Borreliella burgdorferi ZS7,GCF_000021405.1,GCA_000021405.1,1345494,53615.0,0.04043347647778437,True
445986.33,Borreliella afzelii ACA-1,GCF_000170935.2,,1353819,60749.0,0.05386318259678731,False
450394.9,Staphylococcus aureus subsp. aureus USA300_TCH959,GCF_000153665.1,GCA_000153665.1,2845480,20413.0,0.011162264363130298,True
451756.7,Clostridium perfringens CPE str. F4969,GCF_000171195.1,,3510272,70480.0,0.019416444081826138,False
456481.32,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)' strain Patoc 1 (Paris) strain Patoc 1 (Paris) strain Patoc 1 (Paris),GCF_000017685.1,GCA_000017685.1,3951448,74116.0,0.020946245528221552,True
457400.3,Escherichia sp. 1_1_43,GCF_000159895.2,GCA_000159895.2,4836424,2235585.0,0.4575920142650851,True
45972.57,Staphylococcus pasteuri strain DSM 10656,GCF_003970495.1,GCA_003970575.1,2462952,2605275.0,0.12865780575504515,False
469602.13,Fusobacterium nucleatum subsp. vincentii 3_1_27,GCF_000163915.2,GCA_000163915.2,2190228,15921.0,0.007653997665996417,True
470.4463,Acinetobacter baumannii strain BAL062,GCF_900088705.1,GCA_900088705.1,4050765,8015.0,0.001978638602831811,True
470.4451,Acinetobacter baumannii strain C2,GCF_900117505.2,,3818097,6078.0,0.0015916305950320277,False
470.4446,Acinetobacter baumannii strain CS01,GCF_000820665.1,GCA_000820665.1,3916249,64165.0,0.031097614068972632,True
470.446,,GCF_900117985.2,,3942149,,0.01764976412611497,False
470.4352,Acinetobacter baumannii strain IOMTU 433 strain IOMTU433,GCF_000828935.1,GCA_000828935.1,4190324,189354.0,0.0461014470480087,True
470.4384,Acinetobacter baumannii strain YU-R612,GCF_001543995.1,GCA_001543995.1,4155251,74241.0,0.019345883076617994,True
472759.18,Nitrosococcus halophilus Nc 4,GCF_000024725.1,GCA_000024725.1,4145260,65833.0,0.017649797600150532,True
477697.4,Streptomyces sp. T12,GCF_007828695.1,GCA_028736035.1,7803850,11483874.0,0.4544440244238421,False
492670.1727,Bacillus velezensis AM60-1H10A,GCF_027668475.1,GCA_027668475.1,3910462,3910462.0,0.2089054950540371,True
492670.245,Bacillus velezensis strain B25,GCF_001536925.1,GCA_001536925.1,3862757,8138.0,0.002106785386706956,True
498213.21,Clostridium botulinum B1 str. Okra,GCF_000019305.1,GCA_000019305.1,4107013,148780.0,0.03641527309506934,True
498739.17,Borreliella burgdorferi CA-11.2A,GCF_000172315.2,,1294354,54623.0,0.05520591739199632,False
515621.12,Clostridium botulinum Ba4 str. 657,GCF_000020345.1,GCA_000020345.1,4257769,270022.0,0.06509394943689993,True
523796.33,Staphylococcus aureus subsp. aureus ST398 strain S0385 strain type strain:ST398,GCF_000009585.1,GCA_000009585.1,2885367,5246.0,0.002903963343311267,True
526949.1,,GCF_000172715.2,,6665454,,0.1869084986559055,False
537973.18,Lactobacillus paracasei subsp. paracasei 8700:2 strain 362.5013889,GCF_000155515.2,GCA_000155515.2,3025352,62119.0,0.027368716103117918,True
541229.16,Bacillus thuringiensis serovar chinensis CT-43,GCF_000193355.1,GCA_000193355.1,6151150,281231.0,0.057752615364606616,True
547163.3,Mycobacterium vulneris strain DSM 45247,GCF_002104765.1,GCA_000612885.1,6266718,6981439.0,0.24708419941666435,False
548473.9,Staphylococcus aureus subsp. aureus TCH60 strain MRSA_TCH60,GCF_000159535.2,GCA_000159535.2,2827166,24491.0,0.008958794778941173,True
548476.11,Corynebacterium aurimucosum ATCC 700975 strain DSM 44827 strain DSM 44827; ATCC 700975,GCF_000022905.1,GCA_000022905.1,2819226,29037.0,0.011622338897271805,True
551115.19,'Nostoc azollae' 0708,GCF_000196515.1,GCA_000196515.1,5486145,109570.0,0.020890078552426156,True
553198.3,Propionibacterium acidifaciens F0233,GCF_000478805.1,GCA_000478805.1,3017605,2064725.0,0.0017629875348165185,True
557760.27,Rhodobacter sphaeroides KD131 strain KD131; KCTC 12085,GCF_000021005.1,GCA_000021005.1,4711139,157345.0,0.03450503158578,True
558173.7,Corynebacterium doosanense CAU 212 = DSM 45436 strain CAU 212(T),GCF_000767055.1,GCA_000767055.1,2698995,27197.0,0.014133779425304605,True
561007.4,,GCF_001942505.1,,5098655,,0.004598467635092,False
562.7694,Escherichia coli strain 103151,GCF_001284685.1,GCA_001284685.2,4933487,1326714.0,0.27548202721523335,True
562.7667,Escherichia coli strain 200696,GCF_001284145.1,GCA_001284145.2,5154882,1517035.0,0.2992035511191139,True
562.7622,Escherichia coli strain 300073,GCF_001283245.1,GCA_001283245.2,5144739,567150.0,0.11245818300986697,True
562.7641,Escherichia coli strain 401686,GCF_001283625.1,GCA_001283625.2,4745741,951382.0,0.2059891174002121,True
562.7692,Escherichia coli strain 401907,GCF_001284645.1,GCA_001284645.2,5165874,391326.0,0.07869162120485323,True
562.7773,Escherichia coli strain 402605,GCF_001286265.1,GCA_001286265.2,5213724,957497.0,0.18822745507817445,True
562.7627,Escherichia coli strain 402696,GCF_001283345.1,GCA_001283345.2,4842913,1299606.0,0.2709658422523799,True
562.7654,Escherichia coli strain 402798,GCF_001283905.1,GCA_001283905.2,5303898,2442032.0,0.46955804957033487,True
562.762,,GCF_001283205.1,,5464298,,0.13406680967985274,False
562.7708,Escherichia coli strain 702797,GCF_001284965.1,GCA_001284965.2,5143379,1811385.0,0.35735437734609876,True
562.7729,Escherichia coli strain 702971,GCF_001285385.1,GCA_001285385.2,5198954,1733545.0,0.3407827805362386,True
562.7756,Escherichia coli strain 703128,GCF_001285925.1,GCA_001285925.2,5192306,604556.0,0.1213150765767657,True
562.7736,Escherichia coli strain 703273,GCF_001285545.1,GCA_001285545.2,4896922,455856.0,0.09628150091016356,True
562.24607,Escherichia coli strain KSC1031,GCF_002163935.1,GCA_002163935.1,4855538,148529.0,0.03224071153392271,True
562.24606,Escherichia coli strain KSC207,GCF_002163955.1,GCA_002163955.1,4984497,277790.0,0.05707316104313033,True
562.42146,Escherichia coli strain M8,GCF_001637885.1,,5223409,5284951.0,0.4816875339457431,False
562.11102,,GCF_032029395.1,,5282930,,0.49093571181143797,False
208439.7,Amycolatopsis japonica strain MG417-CF17 strain DSM 44213,GCF_000732925.1,GCA_000732925.1,9053857,92539.0,0.010227022582751197,True
2135430.5,Streptomyces sp. P3,GCF_003032475.1,GCA_016893485.1,9851971,9992787.0,0.38287861383270416,False
215803.3,Enhygromyxa salina strain DSM 15201,GCF_000737335.2,GCA_000737335.1,10435313,10977714.0,0.005723354919972214,True
2171625.4,Sphingomonas sp. TPD3009,GCF_003075195.1,GCA_003074955.1,3994225,5169670.0,0.014758557667632644,False
224915.13,Buchnera aphidicola str. Bp (Baizongia pistaciae) strain Bp (Baizongia pistaciae) strain Bp (Baizongia pistaciae) strain Bp (Baizongia pistaciae),GCF_000007725.1,GCA_000007725.1,618379,2399.0,0.0038794978484068834,True
225325.5,Nesterenkonia halotolerans JCM 13018,GCF_042679385.1,,2957945,30689.0,0.0006132636002359746,False
2259621.3,Pseudomonas sp. FW305-3-2-15-E-TSA4,GCF_002901465.1,GCA_014156655.1,6221062,3224307.0,0.0034442672328293786,False
2561928.3,Klebsiella sp. Z2,GCF_004803565.2,GCA_004803565.1,5582894,4875201.0,0.3929985057928737,True
2562794.3,Myxococcus sp. AB025B,GCF_006518215.1,GCA_006518205.1,10601221,9110392.0,0.40376179309911564,False
2562797.3,Myxococcus sp. AB022,GCF_006547345.1,GCA_006518215.1,9062526,10601221.0,0.4651080725175299,False
2563444.3,Pedobacter sp. P-25,GCF_005925325.2,GCA_005925325.1,4976191,4618610.0,0.4454149770376579,True
261594.69,Bacillus anthracis str. 'Ames Ancestor' strain Ames Ancestor; A2084,GCF_000008445.1,GCA_000008445.1,5503926,181677.0,0.03339034718126661,True
262320.5,Flavobacterium frigidimaris strain DSM 15937,GCF_002217275.1,GCF_900129595.1,5422185,5739183.0,0.4876559910810863,False
263358.13,Verrucosispora maris AB-18-032,GCF_000204155.1,GCA_000204155.1,6732271,58295.0,0.008665575108310406,True
264730.31,Pseudomonas savastanoi pv. phaseolicola 1448A strain 1448A; BAA-978,GCF_000012205.1,GCA_000012205.1,6112448,131950.0,0.04919207492644518,True
