,division,assembly,bioproject,organism_name,infraspecific_name,#assembly_accession,genome_size,fasta_filename,downloaded_filename,query_length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
,1069680,GCA_000349005.2,PRJNA245145,Pneumocystis murina B123,strain=B123,GCF_000349005.2,7501343,Pneumocystis_murina_b123_gca_000349005.Pneumo_murina_B123_V4.dna.toplevel.fa,GCF_000349005.2_Pneumo_murina_B123_V4_genomic.fna.gz, 7501343, 7501343,Pneumocystis_murina_b123_gca_000349005.Pneumo_murina_B123_V4.dna.toplevel.fa_vs_GCF_000349005.2_Pneumo_murina_B123_V4_genomic.fna_blast.xml,0,0,0,0,0,0,10,0,7501178,0,16,106,33,0,0,Pneumocystis_murina_b123_gca_000349005_subject_array_1753399201.bin
,1073089,GCA_001890725.1,PRJNA721995,Aspergillus wentii DTO 134E9,strain=DTO 134E9,GCF_001890725.1,31350635,Aspergillus_wentii_dto_134e9_gca_001890725.Aspwe1.dna.toplevel.fa,GCF_001890725.1_Aspwe1_genomic.fna.gz, 31350635, 31350635,Aspergillus_wentii_dto_134e9_gca_001890725.Aspwe1.dna.toplevel.fa_vs_GCF_001890725.1_Aspwe1_genomic.fna_blast.xml,0,0,1,0,0,0,0,55509,31294916,0,0,37,169,0,3,Aspergillus_wentii_dto_134e9_gca_001890725_subject_array_1753399213.bin
,1073090,GCA_001890105.1,PRJNA395482,Penicilliopsis zonata CBS 506.65,strain=CBS 506.65,GCF_001890105.1,26088231,Penicilliopsis_zonata_cbs_506_65_gca_001890105.Aspzo1.dna.toplevel.fa,GCF_001890105.1_Aspzo1_genomic.fna.gz, 26088231, 26088231,Penicilliopsis_zonata_cbs_506_65_gca_001890105.Aspzo1.dna.toplevel.fa_vs_GCF_001890105.1_Aspzo1_genomic.fna_blast.xml,0,0,0,0,0,0,4,72240,26015914,0,8,48,17,0,0,Penicilliopsis_zonata_cbs_506_65_gca_001890105_subject_array_1753399226.bin
,1080233,GCA_010093935.1,PRJNA625780,Zasmidium cellare ATCC 36951,strain=ATCC 36951,GCF_010093935.1,38247703,Zasmidium_cellare_atcc_36951_gca_010093935.Zasce1.dna.toplevel.fa,GCF_010093935.1_Zasce1_genomic.fna.gz, 38247703, 38247703,Zasmidium_cellare_atcc_36951_gca_010093935.Zasce1.dna.toplevel.fa_vs_GCF_010093935.1_Zasce1_genomic.fna_blast.xml,0,0,0,0,0,0,5,49031,38198587,0,6,17,56,0,1,Zasmidium_cellare_atcc_36951_gca_010093935_subject_array_1753399240.bin
,1080349,GCA_001298625.1,PRJNA342694,Saccharomyces eubayanus,strain=FM1318,GCF_001298625.1,11670174,Saccharomyces_eubayanus_gca_001298625.SEUB3.0.dna.toplevel.fa,GCF_001298625.1_SEUB3.0_genomic.fna.gz, 11734173, 11734173,Saccharomyces_eubayanus_gca_001298625.SEUB3.0.dna.toplevel.fa_vs_GCF_001298625.1_SEUB3.0_genomic.fna_blast.xml,0,0,0,0,0,0,0,124273,11609717,0,0,9,171,0,3,Saccharomyces_eubayanus_gca_001298625_subject_array_1753399246.bin
,1089451,GCA_000260195.2,PRJNA309638,Fusarium odoratissimum NRRL 54006,strain=54006,GCF_000260195.1,46553780,Fusarium_odoratissimum_nrrl_54006_gca_000260195.FO_II5_V1.dna.toplevel.fa,GCF_000260195.1_FO_II5_V1_genomic.fna.gz, 46553780, 46553780,Fusarium_odoratissimum_nrrl_54006_gca_000260195.FO_II5_V1.dna.toplevel.fa_vs_GCF_000260195.1_FO_II5_V1_genomic.fna_blast.xml,0,0,20,5,0,0,21,123856,46427674,0,24,354,1798,0,28,Fusarium_odoratissimum_nrrl_54006_gca_000260195_subject_array_1753399277.bin
,109264,GCA_001792695.1,PRJNA395481,Aspergillus bombycis,strain=NRRL26010,GCF_001792695.1,37474605,Aspergillus_bombycis_gca_001792695.ASM179269v1.dna.toplevel.fa,GCF_001792695.1_ASM179269v1_genomic.fna.gz, 37474605, 37474605,Aspergillus_bombycis_gca_001792695.ASM179269v1.dna.toplevel.fa_vs_GCF_001792695.1_ASM179269v1_genomic.fna_blast.xml,0,0,1,1,0,0,14,449,37473947,0,19,62,112,0,0,Aspergillus_bombycis_gca_001792695_subject_array_1753399291.bin
,1093900,GCA_004353045.1,PRJNA576244,Thyridium curvatum,strain=D216,GCF_004353045.1,40366568,Phialemoniopsis_curvata_gca_004353045.ASM435304v1.dna.toplevel.fa,GCF_004353045.1_ASM435304v1_genomic.fna.gz, 40366568, 40366568,Phialemoniopsis_curvata_gca_004353045.ASM435304v1.dna.toplevel.fa_vs_GCF_004353045.1_ASM435304v1_genomic.fna_blast.xml,0,0,0,0,0,0,4,0,40366551,0,5,8,0,0,0,Phialemoniopsis_curvata_gca_004353045_subject_array_1753399311.bin
,1095630,GCA_002865645.1,PRJNA453592,Hyaloscypha bicolor E,strain=E,GCF_002865645.1,82384847,Hyaloscypha_bicolor_e_gca_002865645.Melbi2.dna.toplevel.fa,GCF_002865645.1_Melbi2_genomic.fna.gz, 82384847, 82384847,Hyaloscypha_bicolor_e_gca_002865645.Melbi2.dna.toplevel.fa_vs_GCF_002865645.1_Melbi2_genomic.fna_blast.xml,0,0,54,14,0,0,139,114005,82249576,0,204,1023,19775,0,57,Hyaloscypha_bicolor_e_gca_002865645_subject_array_1753401605.bin
,112498,GCA_900074925.1,PRJNA430539,Ramularia collo-cygni,strain=URUG2,GCF_900074925.1,32254922,Ramularia_collo_cygni_gca_900074925.version_1.dna.toplevel.fa,GCF_900074925.1_version_1_genomic.fna.gz, 32254922, 32254922,Ramularia_collo_cygni_gca_900074925.version_1.dna.toplevel.fa_vs_GCF_900074925.1_version_1_genomic.fna_blast.xml,0,0,2,0,0,0,16,787367,31465562,0,8,203,1754,0,10,Ramularia_collo_cygni_gca_900074925_subject_array_1753401802.bin
,1130832,GCA_000320785.2,PRJNA264108,Rhodotorula toruloides NP11,strain=NP11,GCF_000320785.1,20223942,Rhodotorula_toruloides_np11_gca_000320785.RHOziaDV1.0.dna.toplevel.fa,GCF_000320785.1_RHOziaDV1.0_genomic.fna.gz, 20223942, 20223942,Rhodotorula_toruloides_np11_gca_000320785.RHOziaDV1.0.dna.toplevel.fa_vs_GCF_000320785.1_RHOziaDV1.0_genomic.fna_blast.xml,0,0,0,0,0,0,0,41965,20181751,0,0,32,190,0,4,Rhodotorula_toruloides_np11_gca_000320785_subject_array_1753401811.bin
,1136231,GCA_000315875.1,PRJNA172186,Candida orthopsilosis Co 90-125,strain=Co 90-125,GCF_000315875.1,12659401,Candida_orthopsilosis_co_90_125_gca_000315875.ASM31587v1.dna.toplevel.fa,GCF_000315875.1_ASM31587v1_genomic.fna.gz, 12659401, 12659401,Candida_orthopsilosis_co_90_125_gca_000315875.ASM31587v1.dna.toplevel.fa_vs_GCF_000315875.1_ASM31587v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,176920,12482437,0,0,10,34,0,0,Candida_orthopsilosis_co_90_125_gca_000315875_subject_array_1753401816.bin
,1141098,GCA_002105095.1,PRJNA721998,Pseudomassariella vexata,strain=CBS 129021,GCF_002105095.1,44711451,Pseudomassariella_vexata_gca_002105095.Pseve2.dna.toplevel.fa,GCF_002105095.1_Pseve2_genomic.fna.gz, 44711451, 44711451,Pseudomassariella_vexata_gca_002105095.Pseve2.dna.toplevel.fa_vs_GCF_002105095.1_Pseve2_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,44711450,0,0,1,0,0,0,Pseudomassariella_vexata_gca_002105095_subject_array_1753401985.bin
,1150837,GCA_010094145.1,PRJNA625768,Didymella exigua CBS 183.55,strain=CBS 183.55,GCF_010094145.1,34389227,Didymella_exigua_cbs_183_55_gca_010094145.Didex1.dna.toplevel.fa,GCF_010094145.1_Didex1_genomic.fna.gz, 34389227, 34389227,Didymella_exigua_cbs_183_55_gca_010094145.Didex1.dna.toplevel.fa_vs_GCF_010094145.1_Didex1_genomic.fna_blast.xml,0,0,19,1,0,0,2,722137,33662175,0,1,512,4350,0,30,Didymella_exigua_cbs_183_55_gca_010094145_subject_array_1753402052.bin
,1159556,GCA_000687475.1,PRJNA756324,Ustilaginoidea virens,strain=UV-8b,GCF_000687475.1,37060086,Ustilaginoidea_virens_gca_000687475.Assembly_for_version_1_of_the_Villosiclava_virens_genome.dna.toplevel.fa,GCF_000687475.1_ASM68747v2_genomic.fna.gz, 39397682, 37158136,Ustilaginoidea_virens_gca_000687475.Assembly_for_version_1_of_the_Villosiclava_virens_genome.dna.toplevel.fa_vs_GCF_000687475.1_ASM68747v2_genomic.fna_blast.xml,1,0,14398,2512,1,0,14046,264657,15879598,0,32195,438551,20476635,0,35542,Ustilaginoidea_virens_gca_000687475_subject_array_1753404470.bin
,1159556,GCA_000965225.2,PRJNA756324,Ustilaginoidea virens,strain=UV-8b,GCF_000687475.1,37060086,Ustilaginoidea_virens_gca_000965225.ASM96522v2.dna.toplevel.fa,GCF_000687475.1_ASM68747v2_genomic.fna.gz, 33567624, 37158136,Ustilaginoidea_virens_gca_000965225.ASM96522v2.dna.toplevel.fa_vs_GCF_000687475.1_ASM68747v2_genomic.fna_blast.xml,3,0,16036,2443,3,0,14513,554817,16782817,0,36075,735811,18977203,0,38415,Ustilaginoidea_virens_gca_000965225_subject_array_1753405778.bin
,1160497,GCA_001890805.1,PRJNA395483,Aspergillus glaucus CBS 516.65,strain=CBS 516.65,GCF_001890805.1,27993362,Aspergillus_glaucus_cbs_516_65_gca_001890805.Aspgl1.dna.toplevel.fa,GCF_001890805.1_Aspgl1_genomic.fna.gz, 27993362, 27993362,Aspergillus_glaucus_cbs_516_65_gca_001890805.Aspgl1.dna.toplevel.fa_vs_GCF_001890805.1_Aspgl1_genomic.fna_blast.xml,0,0,0,1,0,0,3,211065,27781823,0,0,24,444,0,2,Aspergillus_glaucus_cbs_516_65_gca_001890805_subject_array_1753405829.bin
,1168221,GCA_000281105.1,PRJNA245130,Coniosporium apollinis CBS 100218,strain=CBS 100218,GCF_000281105.1,28645321,Coniosporium_apollinis_cbs_100218_gca_000281105.Coni_apol_CBS100218__V1.dna.toplevel.fa,GCF_000281105.1_Coni_apol_CBS100218_V1_genomic.fna.gz, 28645321, 28645321,Coniosporium_apollinis_cbs_100218_gca_000281105.Coni_apol_CBS100218__V1.dna.toplevel.fa_vs_GCF_000281105.1_Coni_apol_CBS100218_V1_genomic.fna_blast.xml,0,0,2,0,0,0,3,138461,28506435,0,4,74,339,0,3,Coniosporium_apollinis_cbs_100218_gca_000281105_subject_array_1753405844.bin
,1176127,GCA_010093885.1,PRJNA625763,Aplosporella prunicola CBS 121167,strain=CBS 121167,GCF_010093885.1,32818685,Aplosporella_prunicola_cbs_121167_gca_010093885.Aplpr1.dna.toplevel.fa,GCF_010093885.1_Aplpr1_genomic.fna.gz, 32818685, 32818685,Aplosporella_prunicola_cbs_121167_gca_010093885.Aplpr1.dna.toplevel.fa_vs_GCF_010093885.1_Aplpr1_genomic.fna_blast.xml,0,0,0,1,0,0,7,349640,32468703,0,8,40,286,0,0,Aplosporella_prunicola_cbs_121167_gca_010093885_subject_array_1753405858.bin
,1178016,GCA_000280035.2,PRJNA215743,Encephalitozoon romaleae SJ-2008,strain=SJ-2008,GCF_000280035.1,2187595,Encephalitozoon_romaleae_sj_2008_gca_000280035.ASM28003v2.dna.toplevel.fa,GCF_000280035.1_ASM28003v2_genomic.fna.gz, 2187595, 2187595,Encephalitozoon_romaleae_sj_2008_gca_000280035.ASM28003v2.dna.toplevel.fa_vs_GCF_000280035.1_ASM28003v2_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2187594,0,1,0,0,0,0,Encephalitozoon_romaleae_sj_2008_gca_000280035_subject_array_1753405860.bin
,1182541,GCA_000585585.1,PRJNA245124,Capronia coronata CBS 617.96,strain=CBS 617.96,GCF_000585585.1,25807613,Capronia_coronata_cbs_617_96_gca_000585585.Capr_coro_CBS_617_96_V1.dna.toplevel.fa,GCF_000585585.1_Capr_coro_CBS_617_96_V1_genomic.fna.gz, 25807613, 25807613,Capronia_coronata_cbs_617_96_gca_000585585.Capr_coro_CBS_617_96_V1.dna.toplevel.fa_vs_GCF_000585585.1_Capr_coro_CBS_617_96_V1_genomic.fna_blast.xml,0,0,0,0,0,0,0,7122,25800491,0,0,0,0,0,0,Capronia_coronata_cbs_617_96_gca_000585585_subject_array_1753405869.bin
,1182542,GCA_000585565.1,PRJNA245125,Capronia epimyces CBS 606.96,strain=CBS 606.96,GCF_000585565.1,28889638,Capronia_epimyces_cbs_606_96_gca_000585565.Capr_epim_CBS_606_96_V1.dna.toplevel.fa,GCF_000585565.1_Capr_epim_CBS_606_96_V1_genomic.fna.gz, 28889638, 28889638,Capronia_epimyces_cbs_606_96_gca_000585565.Capr_epim_CBS_606_96_V1.dna.toplevel.fa_vs_GCF_000585565.1_Capr_epim_CBS_606_96_V1_genomic.fna_blast.xml,0,0,0,0,0,0,0,127177,28762411,0,0,0,50,0,0,Capronia_epimyces_cbs_606_96_gca_000585565_subject_array_1753405879.bin
,1182543,GCA_000585535.1,PRJNA245127,Cladophialophora psammophila CBS 110553,strain=CBS 110553,GCF_000585535.1,39420127,Cladophialophora_psammophila_cbs_110553_gca_000585535.Clad_psam_CBS_110553_V1.dna.toplevel.fa,GCF_000585535.1_Clad_psam_CBS_110553_V1_genomic.fna.gz, 39420127, 39420127,Cladophialophora_psammophila_cbs_110553_gca_000585535.Clad_psam_CBS_110553_V1.dna.toplevel.fa_vs_GCF_000585535.1_Clad_psam_CBS_110553_V1_genomic.fna_blast.xml,0,0,4,0,0,0,5,85123,39334253,0,20,80,640,0,2,Cladophialophora_psammophila_cbs_110553_gca_000585535_subject_array_1753405905.bin
,1182544,GCA_000585515.1,PRJNA245128,Cladophialophora yegresii CBS 114405,strain=CBS 114405,GCF_000585515.1,27898422,Cladophialophora_yegresii_cbs_114405_gca_000585515.Clad_yegr_CBS_114405_V1.dna.toplevel.fa,GCF_000585515.1_Clad_yegr_CBS_114405_V1_genomic.fna.gz, 27898422, 27898422,Cladophialophora_yegresii_cbs_114405_gca_000585515.Clad_yegr_CBS_114405_V1.dna.toplevel.fa_vs_GCF_000585515.1_Clad_yegr_CBS_114405_V1_genomic.fna_blast.xml,0,0,0,0,0,0,0,10353,27888066,0,0,1,2,0,0,Cladophialophora_yegresii_cbs_114405_gca_000585515_subject_array_1753405916.bin
,1182545,GCA_000709125.1,PRJNA292601,Exophiala aquamarina CBS 119918,strain=CBS 119918,GCF_000709125.1,41566958,Exophiala_aquamarina_cbs_119918_gca_000709125.Exop_aqua_CBS_119918_V1.dna.toplevel.fa,GCF_000709125.1_Exop_aqua_CBS_119918_V1_genomic.fna.gz, 41566958, 41566958,Exophiala_aquamarina_cbs_119918_gca_000709125.Exop_aqua_CBS_119918_V1.dna.toplevel.fa_vs_GCF_000709125.1_Exop_aqua_CBS_119918_V1_genomic.fna_blast.xml,0,0,13,4,0,0,4,576886,40986578,0,5,174,3284,0,10,Exophiala_aquamarina_cbs_119918_gca_000709125_subject_array_1753405952.bin
,1196081,GCA_001896365.1,PRJNA721996,Talaromyces amestolkiae,strain=CIB,GCF_001896365.1,33721883,Talaromyces_amestolkiae_gca_001896365.ASM189636v1.dna.toplevel.fa,GCF_001896365.1_ASM189636v1_genomic.fna.gz, 33721883, 33721883,Talaromyces_amestolkiae_gca_001896365.ASM189636v1.dna.toplevel.fa_vs_GCF_001896365.1_ASM189636v1_genomic.fna_blast.xml,0,0,0,0,0,0,34,7669,33714045,0,28,80,27,0,0,Talaromyces_amestolkiae_gca_001896365_subject_array_1753405965.bin
,120017,GCA_000286035.1,PRJNA727466,Ustilago hordei,strain=Uho2,GCF_900519145.1,26637005,Ustilago_hordei_gca_000286035.ASM28603v1.dna.toplevel.fa,GCF_900519145.1_Uho2_v1_genomic.fna.gz, 21150702, 26637005,Ustilago_hordei_gca_000286035.ASM28603v1.dna.toplevel.fa_vs_GCF_900519145.1_Uho2_v1_genomic.fna_blast.xml,12,0,16631,3044,7,0,17432,873471,11164741,0,30475,585899,13915937,0,29356,Ustilago_hordei_gca_000286035_subject_array_1753406029.bin
,1209926,GCA_001831195.1,PRJNA411788,Colletotrichum orchidophilum,strain=IMI 309357,GCF_001831195.1,48556462,Colletotrichum_orchidophilum_gca_001831195.CORC01.dna.toplevel.fa,GCF_001831195.1_CORC01_genomic.fna.gz, 48556462, 48556462,Colletotrichum_orchidophilum_gca_001831195.CORC01.dna.toplevel.fa_vs_GCF_001831195.1_CORC01_genomic.fna_blast.xml,0,0,0,0,0,0,3,4281,48552175,0,1,2,0,0,0,Colletotrichum_orchidophilum_gca_001831195_subject_array_1753406057.bin
,121627,GCA_013368755.1,PRJNA645155,Talaromyces rugulosus,strain=W13939,GCF_013368755.1,35758560,Talaromyces_rugulosus_gca_013368755.ASM1336875v1.dna.toplevel.fa,GCF_013368755.1_ASM1336875v1_genomic.fna.gz, 35758560, 35758560,Talaromyces_rugulosus_gca_013368755.ASM1336875v1.dna.toplevel.fa_vs_GCF_013368755.1_ASM1336875v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,35758560,0,0,0,0,0,0,Talaromyces_rugulosus_gca_013368755_subject_array_1753406077.bin
,1220188,GCA_004798825.1,PRJNA625766,Aspergillus tanneri,strain=NIH1004,GCF_003426965.1,38719388,Aspergillus_tanneri_gca_004798825.ASM479882v1.dna.toplevel.fa,GCF_003426965.1_ASM342696v1_genomic.fna.gz, 36538212, 38719388,Aspergillus_tanneri_gca_004798825.ASM479882v1.dna.toplevel.fa_vs_GCF_003426965.1_ASM342696v1_genomic.fna_blast.xml,5,0,9223,1926,3,0,14651,360016,19544503,0,17037,139499,18622116,0,10409,Aspergillus_tanneri_gca_004798825_subject_array_1753406100.bin
,1220188,GCA_003426965.1,PRJNA625766,Aspergillus tanneri,strain=NIH1004,GCF_003426965.1,38719388,Aspergillus_tanneri_gca_003426965.ASM342696v1.dna.toplevel.fa,GCF_003426965.1_ASM342696v1_genomic.fna.gz, 38719388, 38719388,Aspergillus_tanneri_gca_003426965.ASM342696v1.dna.toplevel.fa_vs_GCF_003426965.1_ASM342696v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,38719385,0,2,1,0,0,0,Aspergillus_tanneri_gca_003426965_subject_array_1753406125.bin
,1220924,GCA_000365145.2,PRJNA245131,Cyphellophora europaea CBS 101466,strain=CBS 101466,GCF_000365145.1,28781303,Cyphellophora_europaea_cbs_101466_gca_000365145.Phia_euro_CBS_101466_V1.dna.toplevel.fa,GCF_000365145.1_Phia_euro_CBS_101466_V1_genomic.fna.gz, 28781303, 28781303,Cyphellophora_europaea_cbs_101466_gca_000365145.Phia_euro_CBS_101466_V1.dna.toplevel.fa_vs_GCF_000365145.1_Phia_euro_CBS_101466_V1_genomic.fna_blast.xml,0,0,0,0,0,0,0,61253,28719987,0,0,7,55,0,1,Cyphellophora_europaea_cbs_101466_gca_000365145_subject_array_1753406136.bin
,122368,GCA_002742065.1,PRJNA1120886,Cercospora beticola,na,GCF_033473495.1,36074111,Cercospora_beticola_gca_002742065.CB0940_V2.dna.toplevel.fa,GCF_033473495.1_ASM3347349v1_genomic.fna.gz, 37057033, 36074111,Cercospora_beticola_gca_002742065.CB0940_V2.dna.toplevel.fa_vs_GCF_033473495.1_ASM3347349v1_genomic.fna_blast.xml,0,0,5321,1022,3,0,5742,523249,30108467,0,9116,249097,5164227,0,7867,Cercospora_beticola_gca_002742065_subject_array_1753406153.bin
,1227346,GCA_900067095.1,PRJNA576857,Fusarium proliferatum ET1,strain=ET1,GCF_900067095.1,45210324,Fusarium_proliferatum_et1_gca_900067095.F._proliferatum_ET1_version_1.dna.toplevel.fa,GCF_900067095.1_F._proliferatum_ET1_version_1_genomic.fna.gz, 45210324, 45210324,Fusarium_proliferatum_et1_gca_900067095.F._proliferatum_ET1_version_1.dna.toplevel.fa_vs_GCF_900067095.1_F._proliferatum_ET1_version_1_genomic.fna_blast.xml,0,0,33,2,0,0,14,302652,44901939,0,6,246,5386,0,46,Fusarium_proliferatum_et1_gca_900067095_subject_array_1753406171.bin
