#name,species,division,taxonomy_id,assembly,assembly_accession,genebuild,variation,microarray,pan_compara,peptide_compara,genome_alignments,other_alignments,core_db,species_id,#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,fasta_filename,downloaded_filename
aureobasidium_subglaciale_exf_2481_gca_000721755,EnsemblFungi,1043005,Aureobasidium pullulans var. subglaciale EXF-2481 v1.0,GCA_000721755.1,2015-08-JGI,N,N,N,N,N,Y,fungi_ascomycota1_collection_core_61_114_1,219,,GCF_000721755.1,PRJNA292599,SAMN02744088,AYYB00000000.1,reference genome,1043005,1042127,Aureobasidium subglaciale EXF-2481,strain=EXF-2481,na,latest,Scaffold,Major,Full,2014-07-08,Aureobasidium pullulans var. subglaciale EXF-2481 v1.0,JGI,GCA_000721755.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/721/755/GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0,na,assembly from type material,na,haploid,fungi,25796716,25791175,51.0,0,75,85,JGI,Annotation submitted by JGI,2024-01-05,10792,10792,0,24984952,Aureobasidium_subglaciale_exf_2481_gca_000721755.Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0.dna.toplevel.fa,GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0_genomic.fna.gz
apiotrichum_porosum_gca_003942205,EnsemblFungi,105984,ASM394220v1,GCA_003942205.1,2018-12-KarlsruheInstituteofTechnology,N,N,N,N,N,Y,fungi_basidiomycota1_collection_core_61_114_1,233,,GCF_003942205.1,PRJNA531017,SAMN10458770,RSCE00000000.1,reference genome,105984,105984,Apiotrichum porosum,strain=DSM 27194,na,latest,Contig,Major,Full,2018-12-12,ASM394220v1,Karlsruhe Institute of Technology,GCA_003942205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/942/205/GCF_003942205.1_ASM394220v1,na,na,na,haploid,fungi,25479456,25479456,59.0,0,32,32,Karlsruhe Institute of Technology,Annotation submitted by Karlsruhe Institute of Technology,2023-12-28,9719,9143,576,na,Apiotrichum_porosum_gca_003942205.ASM394220v1.dna.toplevel.fa,GCF_003942205.1_ASM394220v1_genomic.fna.gz
pneumocystis_murina_b123_gca_000349005,EnsemblFungi,1069680,Pneumo_murina_B123_V4,GCA_000349005.2,2016-12-BroadInstitute,N,N,N,Y,N,Y,fungi_ascomycota1_collection_core_61_114_1,134,,GCF_000349005.2,PRJNA245145,SAMN00102820,AFWA00000000.2,reference genome,1069680,263815,Pneumocystis murina B123,strain=B123,na,latest,Contig,Major,Full,2015-12-22,Pneumo_murina_B123_V4,Broad Institute,GCA_000349005.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/005/GCF_000349005.2_Pneumo_murina_B123_V4,na,na,na,haploid,fungi,7501343,7501343,27.0,0,20,20,Broad Institute,Annotation submitted by Broad Institute,2017-08-29,3675,3623,52,na,Pneumocystis_murina_b123_gca_000349005.Pneumo_murina_B123_V4.dna.toplevel.fa,GCF_000349005.2_Pneumo_murina_B123_V4_genomic.fna.gz
naumovozyma_dairenensis_cbs_421_gca_000227115,EnsemblFungi,1071378,ASM22711v2,GCA_000227115.2,2015-02-WolfeLaboratorySmurfitInstituteofGeneticsTrinityCollegeDublinIreland,N,N,N,Y,N,Y,fungi_ascomycota1_collection_core_61_114_1,61,,GCF_000227115.2,PRJNA79341,SAMEA2272418,na,reference genome,1071378,27289,Naumovozyma dairenensis CBS 421,strain=type strain:CBS 421,na,latest,Chromosome,Major,Full,2012-08-20,ASM22711v2,"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland",GCA_000227115.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/115/GCF_000227115.2_ASM22711v2,na,assembly from type material,na,haploid,fungi,13527580,13485324,34.0,11,11,11,"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland","Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland",2024-12-04,5814,5546,268,22123960,Naumovozyma_dairenensis_cbs_421_gca_000227115.ASM22711v2.dna.toplevel.fa, Ireland"_genomic.fna.gz
tetrapisispora_blattae_cbs_6284_gca_000315915,EnsemblFungi,1071380,ASM31591v1,GCA_000315915.1,2015-02-WolfeLaboratorySmurfitInstituteofGeneticsTrinityCollegeDublinIreland,N,N,N,Y,N,Y,fungi_ascomycota1_collection_core_61_114_1,15,,GCF_000315915.1,PRJNA188088,SAMEA2271984,na,reference genome,1071380,1071379,Henningerozyma blattae CBS 6284,strain=type strain:CBS 6284,na,latest,Chromosome,Major,Full,2012-05-11,ASM31591v1,"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland",GCA_000315915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/915/GCF_000315915.1_ASM31591v1,na,assembly from type material,na,haploid,fungi,14048593,14045573,31.5,10,10,10,"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland","Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland",2024-12-02,5725,5388,337,22123960,Tetrapisispora_blattae_cbs_6284_gca_000315915.ASM31591v1.dna.toplevel.fa, Ireland"_genomic.fna.gz
tetrapisispora_phaffii_cbs_4417_gca_000236905,EnsemblFungi,1071381,ASM23690v1,GCA_000236905.1,2015-02-WolfeLaboratorySmurfitInstituteofGeneticsTrinityCollegeDublinIreland,N,N,N,Y,N,Y,fungi_ascomycota1_collection_core_61_114_1,179,,GCF_000236905.1,PRJNA79335,SAMEA2272094,na,reference genome,1071381,113608,Tetrapisispora phaffii CBS 4417,strain=type strain:CBS 4417,na,latest,Chromosome,Major,Full,2011-11-17,ASM23690v1,"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland",GCA_000236905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/905/GCF_000236905.1_ASM23690v1,na,assembly from type material,na,haploid,fungi,12115070,12099635,33.5,16,17,17,"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland","Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland",2024-12-04,5462,5252,210,22123960,Tetrapisispora_phaffii_cbs_4417_gca_000236905.ASM23690v1.dna.toplevel.fa, Ireland"_genomic.fna.gz
kazachstania_africana_cbs_2517_gca_000304475,EnsemblFungi,1071382,Ka_CBS2517,GCA_000304475.1,2020-06-WolfeLaboratorySmurfitInstituteofGeneticsTrinityCollegeDublinIreland,N,N,N,Y,N,Y,fungi_ascomycota1_collection_core_61_114_1,75,,GCF_000304475.1,PRJNA178246,SAMEA2272790,na,reference genome,1071382,432096,Kazachstania africana CBS 2517,strain=type strain:CBS 2517,na,latest,Chromosome,Major,Full,2012-01-17,Ka_CBS2517,"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland",GCA_000304475.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/304/475/GCF_000304475.1_Ka_CBS2517,na,assembly from type material,na,haploid,fungi,11130140,11126917,36.5,12,12,12,"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland","Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland",2024-12-04,5646,5375,271,22123960,Kazachstania_africana_cbs_2517_gca_000304475.Ka_CBS2517.dna.toplevel.fa, Ireland"_genomic.fna.gz
kazachstania_naganishii_cbs_8797_gca_000348985,EnsemblFungi,1071383,ASM34898v1,GCA_000348985.1,2015-02-WolfeLaboratorySmurfitInstituteofGeneticsTrinityCollegeDublinIreland,N,N,N,Y,N,Y,fungi_ascomycota1_collection_core_61_114_1,57,,GCF_000348985.1,PRJNA244480,SAMEA2272481,na,reference genome,1071383,588726,Huiozyma naganishii CBS 8797,strain=type strain:CBS 8797,na,latest,Chromosome,Major,Full,2012-09-05,ASM34898v1,"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland",GCA_000348985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/348/985/GCF_000348985.1_ASM34898v1,na,assembly from type material,na,haploid,fungi,10845821,10842414,46.0,13,13,13,"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland","Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland",2024-12-02,5486,5319,167,22123960,Kazachstania_naganishii_cbs_8797_gca_000348985.ASM34898v1.dna.toplevel.fa, Ireland"_genomic.fna.gz
aspergillus_wentii_dto_134e9_gca_001890725,EnsemblFungi,1073089,Aspwe1,GCA_001890725.1,2016-12-DOEJointGenomeInstitute,N,N,N,N,N,Y,fungi_ascomycota3_collection_core_61_114_1,217,,GCF_001890725.1,PRJNA721995,SAMN02744089,LJSE00000000.1,reference genome,1073089,5066,Aspergillus wentii DTO 134E9,strain=DTO 134E9,na,latest,Scaffold,Major,Full,2016-12-08,Aspwe1,DOE Joint Genome Institute,GCA_001890725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/725/GCF_001890725.1_Aspwe1,na,na,na,haploid,fungi,31350635,31295010,48.0,0,27,118,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2025-02-21,12657,12433,221,na,Aspergillus_wentii_dto_134e9_gca_001890725.Aspwe1.dna.toplevel.fa,GCF_001890725.1_Aspwe1_genomic.fna.gz
penicilliopsis_zonata_cbs_506_65_gca_001890105,EnsemblFungi,1073090,Aspzo1,GCA_001890105.1,2016-12-DOEJointGenomeInstitute,N,N,N,Y,N,Y,fungi_ascomycota3_collection_core_61_114_1,229,,GCF_001890105.1,PRJNA395482,SAMN02194405,MRBM00000000.1,reference genome,1073090,41063,Penicilliopsis zonata CBS 506.65,strain=CBS 506.65,na,latest,Scaffold,Major,Full,2016-12-08,Aspzo1,DOE Joint Genome Institute,GCA_001890105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/105/GCF_001890105.1_Aspzo1,na,assembly from type material,na,haploid,fungi,26088231,26015890,50.0,0,246,428,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2017-10-03,10027,9869,155,na,Penicilliopsis_zonata_cbs_506_65_gca_001890105.Aspzo1.dna.toplevel.fa,GCF_001890105.1_Aspzo1_genomic.fna.gz
zasmidium_cellare_atcc_36951_gca_010093935,EnsemblFungi,1080233,Zasce1,GCA_010093935.1,2020-02-DOEJointGenomeInstitute,N,N,N,N,N,Y,fungi_ascomycota4_collection_core_61_114_1,212,,GCF_010093935.1,PRJNA625780,SAMN00809353,JAAEIS000000000.1,reference genome,1080233,395010,Zasmidium cellare ATCC 36951,strain=ATCC 36951,na,latest,Scaffold,Major,Full,2020-01-31,Zasce1,DOE Joint Genome Institute,GCA_010093935.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/093/935/GCF_010093935.1_Zasce1,na,assembly designated as neotype,na,haploid,fungi,38247703,38198564,53.5,0,267,365,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2020-04-27,16072,16015,50,na,Zasmidium_cellare_atcc_36951_gca_010093935.Zasce1.dna.toplevel.fa,GCF_010093935.1_Zasce1_genomic.fna.gz
saccharomyces_eubayanus_gca_001298625,EnsemblFungi,1080349,SEUB3.0,GCA_001298625.1,2015-09-UniversityofWisconsinMadison,N,N,N,N,N,Y,fungi_ascomycota3_collection_core_61_114_1,37,,GCF_001298625.1,PRJNA342694,SAMN02716114,JMCK00000000.1,reference genome,1080349,1080349,Saccharomyces eubayanus,strain=FM1318,na,latest,Chromosome,Major,Full,2015-11-04,SEUB3.0,University of Wisconsin-Madison,GCA_001298625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/625/GCF_001298625.1_SEUB3.0,na,na,na,haploid,fungi,11670174,11548202,40.0,17,23,23,University of Wisconsin-Madison,Annotation submitted by University of Wisconsin-Madison,2024-12-04,5687,5379,308,26269586,Saccharomyces_eubayanus_gca_001298625.SEUB3.0.dna.toplevel.fa,GCF_001298625.1_SEUB3.0_genomic.fna.gz
metarhizium_album_arsef_1941_gca_000804445,EnsemblFungi,1081103,MAM 1.0 for version 1 of the Metarhizium album genome,GCA_000804445.1,2014-12-ShanghaiInstitutesforBiologicalSciencesCAS,N,N,N,N,N,Y,fungi_ascomycota2_collection_core_61_114_1,22,,GCF_000804445.1,PRJNA721988,SAMN03268435,AZHE00000000.1,reference genome,1081103,92629,Metarhizium album ARSEF 1941,strain=ARSEF 1941,na,latest,Scaffold,Major,Full,2014-12-18,MAM 1.0 for version 1 of the Metarhizium album genome,"Shanghai Institutes for Biological Sciences, CAS",GCA_000804445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/445/GCF_000804445.1_MAM_1.0_for_version_1_of_the_Metarhizium_album_genome,na,na,na,haploid,fungi,30449065,30132239,53.0,0,257,257,"Shanghai Institutes for Biological Sciences, CAS","Annotation submitted by Shanghai Institutes for Biological Sciences, CAS",2021-04-20,8472,8472,0,25368161,Metarhizium_album_arsef_1941_gca_000804445.MAM_1.0_for_version_1_of_the_Metarhizium_album_genome.dna.toplevel.fa,identical_genomic.fna.gz
cordyceps_fumosorosea_arsef_2679_gca_001636725,EnsemblFungi,1081104,ISF 1.0,GCA_001636725.1,2016-05-ShanghaiInstitutesforBiologicalSciencesCAS,N,N,N,N,N,Y,fungi_ascomycota3_collection_core_61_114_1,163,,GCF_001636725.1,PRJNA342686,SAMN04908328,AZHB00000000.1,reference genome,1081104,114497,Cordyceps fumosorosea ARSEF 2679,strain=ARSEF 2679,na,latest,Scaffold,Major,Full,2016-05-04,ISF 1.0,"Shanghai Institutes for Biological Sciences, CAS",GCA_001636725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/636/725/GCF_001636725.1_ISF_1.0,na,na,na,haploid,fungi,33485962,33399778,53.5,0,430,430,"Shanghai Institutes for Biological Sciences, CAS","Annotation submitted by Shanghai Institutes for Biological Sciences, CAS",2017-08-28,10061,10061,0,27071652,Cordyceps_fumosorosea_arsef_2679_gca_001636725.ISF_1.0.dna.toplevel.fa,identical_genomic.fna.gz
fusarium_odoratissimum_nrrl_54006_gca_000260195,EnsemblFungi,1089451,FO_II5_V1,GCA_000260195.2,2014-04-BroadInstitute,N,N,N,N,N,Y,fungi_ascomycota1_collection_core_61_114_1,38,,GCF_000260195.1,PRJNA309638,SAMN02981379,AGND00000000.1,reference genome,1089451,2502994,Fusarium odoratissimum NRRL 54006,strain=54006,na,latest,Scaffold,Major,Full,2014-02-19,FO_II5_V1,Broad Institute,GCA_000260195.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/260/195/GCF_000260195.1_FO_II5_V1,na,na,na,haploid,fungi,46553780,46425687,47.5,0,418,716,Broad Institute,Annotation submitted by Broad Institute,2020-08-07,16975,16634,334,na,Fusarium_odoratissimum_nrrl_54006_gca_000260195.FO_II5_V1.dna.toplevel.fa,GCF_000260195.1_FO_II5_V1_genomic.fna.gz
aspergillus_bombycis_gca_001792695,EnsemblFungi,109264,ASM179269v1,GCA_001792695.1,2016-11-USDAARSSRRC,N,N,N,N,N,Y,fungi_ascomycota3_collection_core_61_114_1,211,,GCF_001792695.1,PRJNA395481,SAMN04942831,LYCR00000000.1,reference genome,109264,109264,Aspergillus bombycis,strain=NRRL26010,na,latest,Contig,Major,Full,2016-10-19,ASM179269v1,USDA-ARS-SRRC,GCA_001792695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/792/695/GCF_001792695.1_ASM179269v1,na,assembly from type material,na,haploid,fungi,37474605,37474605,49.0,0,450,450,USDA-ARS-SRRC,Annotation submitted by USDA-ARS-SRRC,2025-02-21,12262,12262,0,27664179,Aspergillus_bombycis_gca_001792695.ASM179269v1.dna.toplevel.fa,GCF_001792695.1_ASM179269v1_genomic.fna.gz
phialemoniopsis_curvata_gca_004353045,EnsemblFungi,1093900,ASM435304v1,GCA_004353045.1,2019-07-UESAFRL,N,N,N,N,N,Y,fungi_ascomycota4_collection_core_61_114_1,110,,GCF_004353045.1,PRJNA576244,SAMN11041535,SKBQ00000000.1,reference genome,1093900,1093900,Thyridium curvatum,strain=D216,na,latest,Contig,Major,Full,2019-03-15,ASM435304v1,UES / AFRL,GCA_004353045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/353/045/GCF_004353045.1_ASM435304v1,na,na,na,haploid,fungi,40366568,40366568,55.0,0,359,359,UES / AFRL,Annotation submitted by UES / AFRL,2023-12-28,12451,12451,0,na,Phialemoniopsis_curvata_gca_004353045.ASM435304v1.dna.toplevel.fa,GCF_004353045.1_ASM435304v1_genomic.fna.gz
