##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000847965.1	PRJNA485481	na	na	na	10271	10271	Rabbit fibroma virus	strain=Kasza	na	latest	Complete Genome	Major	Full	2000-08-01	ViralProj14590	Molecular Biology & Genetics, University of Guelph	GCA_000847965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/965/GCF_000847965.1_ViralProj14590	na	ICTV species exemplar	na	haploid	viral	159857	159857	39.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-07	165	165	0	1660196;6323741;10562495
GCF_000843685.1	PRJNA485481	na	na	na	10273	10273	Myxoma virus	strain=Lausanne	na	latest	Complete Genome	Major	Full	2002-01-31	ViralProj14396	Viral Immunology and Pathogenesis, The John P. Robarts Research Institute	GCA_000843685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/843/685/GCF_000843685.1_ViralProj14396	na	ICTV species exemplar	na	haploid	viral	161773	161773	43.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-07	170	170	0	10562494;16356857
GCF_000839965.1	PRJNA485481	na	na	na	10276	10276	Swinepox virus	na	17077-99	latest	Complete Genome	Major	Full	2002-02-08	ViralProj14155	African Swine Fever Research, Plum Island Animal Disease Center, U.S. Dept. Agriculture, Agricultural Research Service	GCA_000839965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/965/GCF_000839965.1_ViralProj14155	na	ICTV species exemplar	na	haploid	viral	146454	146454	27.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-07	150	150	0	11752168
GCF_000843325.1	PRJNA485481	na	na	na	10280	10279	Molluscum contagiosum virus subtype 1	na	na	latest	Complete Genome	Major	Full	2000-08-01	ViralProj14328	Laboratory of Viral Diseases, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892-0455, USA	GCA_000843325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/843/325/GCF_000843325.1_ViralProj14328	na	ICTV species exemplar	na	haploid	viral	190289	190289	63.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-07	163	163	0	8670425
GCF_000909015.1	PRJNA485481	SAMEA3138434	na	na	10288	10288	Choristoneura biennis entomopoxvirus	na	na	latest	Complete Genome	Major	Full	2013-05-21	ViralProj203666	Institut de Recherche sur la Biologie de l'Insecte, Universite Francois Rabelais de Tours, Avenue Monge - Parc Grandmont - Tours, F-37200, FRANCE	GCA_000909015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/909/015/GCF_000909015.1_ViralProj203666	na	ICTV species exemplar	na	haploid	viral	307691	307691	19.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-07	334	334	0	23678178
GCF_002987725.1	PRJNA485481	na	na	na	10291	10291	unidentified entomopoxvirus	na	na	latest	Chromosome	Major	Partial	2018-08-24	ASM298772v1	L. Gauthier, Inst National de la Recherche Agron., (INRA), Station de Recherches de Pathologie, Comparee, 30380 Saint Christol-Les-Ales, FRANCE	GCA_002987725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/987/725/GCF_002987725.1_ASM298772v1	partial	ICTV species exemplar	na	haploid	viral	1686	1686	24.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-24	1	1	0	7747415
GCF_002814635.1	PRJNA485481	na	na	na	10295	3050244	Bovine alphaherpesvirus 2	na	na	latest	Chromosome	Major	Partial	2019-06-28	ASM281463v1	NCBI	GCA_002814635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/814/635/GCF_002814635.1_ASM281463v1	partial	na	na	haploid	viral	9388	9388	62.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2019-06-28	1	1	0	2841793
GCF_021461835.1	PRJNA485481	SAMN16073548	na	na	10295	3050244	Bovine alphaherpesvirus 2	strain=C1Z FZR	na	latest	Complete Genome	Major	Full	2023-05-04	ASM2146183v1	Insitute of Diagnostic Virology, Friedrich-Loeffler-Institut	GCA_021461835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/461/835/GCF_021461835.1_ASM2146183v1	na	ICTV species exemplar	na	haploid	viral	131245	131245	65.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-05-04	76	75	0	33315144
GCF_000859985.2	PRJNA485481	na	na	na	10298	3050292	Human alphaherpesvirus 1	strain=17	na	latest	Complete Genome	Major	Full	2015-05-12	ViralProj15217	MRC - University of Glasgow Centre for Virus Research	GCA_000859985.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/985/GCF_000859985.2_ViralProj15217	na	ICTV species exemplar	na	haploid	viral	152222	152222	68.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	79	77	2	22417106
GCF_000858385.2	PRJNA485481	na	na	na	10310	3050293	Human alphaherpesvirus 2	strain=HG52	na	latest	Scaffold	Major	Full	2013-11-01	ViralProj15218	A. Dolan, MRC Virology Unit, Church Street,, Glasgow,, G11 5JR, UK	GCA_000858385.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/858/385/GCF_000858385.2_ViralProj15218	na	ICTV species exemplar	na	haploid	viral	154675	154675	70.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016-05-16	79	77	2	na
GCF_000846965.1	PRJNA485481	na	na	na	10317	3050256	Cercopithecine alphaherpesvirus 2	strain=B264	na	latest	Complete Genome	Major	Full	2004-12-17	ViralProj14558	Health Canada, National Microbiology Laboratory	GCA_000846965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/846/965/GCF_000846965.1_ViralProj14558	na	ICTV species exemplar	na	haploid	viral	150715	150715	76.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	75	75	0	15629785
GCF_000844145.1	PRJNA485481	na	na	na	10325	3050305	Macacine alphaherpesvirus 1	strain=E2490	na	latest	Complete Genome	Major	Full	2003-05-22	ViralProj14489	Department of Biology, Georgia State University	GCA_000844145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/844/145/GCF_000844145.1_ViralProj14489	na	ICTV species exemplar	na	haploid	viral	156789	156789	74.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	75	75	0	12743273
GCF_018580855.1	PRJNA485481	na	na	na	10325	3050305	Macacine alphaherpesvirus 1	na	8100812	latest	Complete Genome	Major	Full	2023-05-04	ASM1858085v1	Veterinary Pathobiology, Oklahoma State University, Center for Veterinary Health Science	GCA_018580855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/580/855/GCF_018580855.1_ASM1858085v1	na	ICTV species exemplar	na	haploid	viral	157447	157447	75.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-05-04	93	74	18	28494342
GCF_018580865.1	PRJNA485481	na	na	na	10325	3050305	Macacine alphaherpesvirus 1	na	KQ	latest	Complete Genome	Major	Full	2023-05-04	ASM1858086v1	Veterinary Pathobiology, Oklahoma State University, Center for Veterinary Health Science	GCA_018580865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/580/865/GCF_018580865.1_ASM1858086v1	na	ICTV species exemplar	na	haploid	viral	157321	157321	75.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-05-04	92	73	17	28494342
GCF_000844025.1	PRJNA485481	na	na	na	10326	3050276	Equid alphaherpesvirus 1	strain=Ab4	na	latest	Complete Genome	Major	Full	2004-07-15	ViralProj14465	MRC Virology Unit	GCA_000844025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/844/025/GCF_000844025.1_ViralProj14465	na	ICTV species exemplar	na	haploid	viral	150224	150224	56.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	80	80	0	1318606
GCF_000846345.1	PRJNA485481	na	na	na	10331	3050278	Equid alphaherpesvirus 4	strain=NS80567	na	latest	Complete Genome	Major	Full	2000-08-01	ViralProj14418	MRC Virology Unit	GCA_000846345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/846/345/GCF_000846345.1_ViralProj14418	na	ICTV species exemplar	na	haploid	viral	145597	145597	50.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	79	79	0	9603335
GCF_000885455.1	PRJNA485481	na	na	na	10334	3050284	Felid alphaherpesvirus 1	strain=C-27	na	latest	Complete Genome	Major	Full	2009-12-15	ViralProj42429	College of Veterinary Medicine, Michigan State University	GCA_000885455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/455/GCF_000885455.1_ViralProj42429	na	ICTV species exemplar	na	haploid	viral	135797	135797	46.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2019-06-04	77	77	0	20304455
GCF_000858285.1	PRJNA485481	na	na	na	10335	3050294	Human alphaherpesvirus 3	strain=Dumas	na	latest	Complete Genome	Major	Full	2000-08-01	ViralProj15198	NCBI	GCA_000858285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/858/285/GCF_000858285.1_ViralProj15198	na	ICTV species exemplar	na	haploid	viral	124884	124884	46.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	73	73	0	3018124
GCF_000843825.1	PRJNA485481	na	na	na	10345	3050355	Suid alphaherpesvirus 1	strain=Composite of 6 strains	na	latest	Complete Genome	Major	Full	2004-08-26	ViralProj14424	Department of Molecular Biology, Princeton University	GCA_000843825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/843/825/GCF_000843825.1_ViralProj14424	na	na	na	haploid	viral	143461	143461	73.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	70	69	1	14671123
GCF_008791805.1	PRJNA485481	na	na	na	10345	3050355	Suid alphaherpesvirus 1	strain=Kaplan	na	latest	Complete Genome	Major	Full	2023-05-04	ASM879180v1	Molecular Biology, Princeton University	GCA_008791805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/791/805/GCF_008791805.1_ASM879180v1	na	ICTV species exemplar	na	haploid	viral	140377	140377	73.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-05-04	70	69	0	22022263
GCF_000890195.1	PRJNA485481	na	na	na	10353	3050348	Saimiriine alphaherpesvirus 1	strain=MV 5-4	na	latest	Complete Genome	Major	Full	2010-11-16	ViralProj54017	National Microbiology Laboratory, Public Health Agency of Canada	GCA_000890195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/890/195/GCF_000890195.1_ViralProj54017	na	ICTV species exemplar	na	haploid	viral	156742	156742	67.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	70	70	0	21130483
GCF_000845245.1	PRJNA485481	na	na	na	10359	3050295	Human betaherpesvirus 5	strain=Merlin	na	latest	Complete Genome	Major	Full	2007-08-13	ViralProj14559	MRC Virology Unit	GCA_000845245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/845/245/GCF_000845245.1_ViralProj14559	na	ICTV species exemplar	na	haploid	viral	235646	235646	57.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	173	169	4	12917473;12604818;15105547;12692276;22109557
GCF_000859805.1	PRJNA485481	na	na	na	10366	3050323	Murid betaherpesvirus 1	strain=Smith	na	latest	Complete Genome	Major	Full	2002-07-09	ViralProj15181	William D. Rawlinson, Virology, University of Syndey, Institute of Clinical Pathology Medical Research (ICPMR), Westmead, NSW 2145, Australia	GCA_000859805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/805/GCF_000859805.1_ViralProj15181	na	na	na	haploid	viral	230278	230278	58.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	168	161	0	8892916;8971012
GCF_008792765.1	PRJNA485481	na	na	na	10366	3050323	Murid betaherpesvirus 1	strain=Smith	na	latest	Complete Genome	Major	Full	2023-05-04	ASM879276v1	Division of Rheumatology, Department of Medicine, Washington University School of Medicine	GCA_008792765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/792/765/GCF_008792765.1_ASM879276v1	na	ICTV species exemplar	na	haploid	viral	230408	230408	58.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-05-04	158	158	0	20015993
GCF_000929435.1	PRJNA485481	na	na	na	10371	3050282	Equid gammaherpesvirus 5	strain=2-141/67	na	latest	Complete Genome	Major	Full	2015-02-04	ViralProj274586	MRC-University of Glasgow Centre for Virus Research	GCA_000929435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/929/435/GCF_000929435.1_ViralProj274586	na	ICTV species exemplar	na	haploid	viral	182380	182380	54.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	79	79	0	25767243
GCF_000848125.1	PRJNA485481	na	na	na	10372	3050298	Human betaherpesvirus 7	strain=RK	na	latest	Complete Genome	Major	Full	2004-09-03	ViralProj14625	MRC Virology Unit	GCA_000848125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/125/GCF_000848125.1_ViralProj14625	na	ICTV species exemplar	na	haploid	viral	153080	153080	36.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	86	86	0	9581785
GCF_002402265.1	PRJNA485481	na	na	na	10376	3050299	human gammaherpesvirus 4	strain=B95-8	na	latest	Complete Genome	Major	Full	2005-11-17	ASM240226v1	Farrell P., Ludwig Institute for Cancer Research, Imperial College School of Medicine, St. Mary's Campus, Norfolk Place London W2 1PG	GCA_002402265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/402/265/GCF_002402265.1_ASM240226v1	na	ICTV species exemplar	na	haploid	viral	171823	171823	59.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	94	93	0	2171209;2835854;6087149;3039467;2840285;6092825;6094955;6203743;6094953;7301588;6296170;6269068;6300857;6328526;6310141;10872327;6330697;6327290;12771413
GCF_002814975.1	PRJNA485481	na	na	na	10380	3050139	Ateline gammaherpesvirus 2	na	na	latest	Chromosome	Major	Partial	2018-08-24	ASM281497v1	NCBI	GCA_002814975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/814/975/GCF_002814975.1_ASM281497v1	partial	ICTV species exemplar	na	haploid	viral	2577	2577	34.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-24	1	1	0	3404583
GCF_000845465.1	PRJNA485481	na	na	na	10381	3050350	Saimiriine gammaherpesvirus 2	na	na	latest	Complete Genome	Major	Full	2000-08-01	ViralProj14417	J. Albrecht, Inst. fuer Klinische und Molekulare Virologie, Friedrich-Alexander Uni, Loschgestrasse 7, D-8520 Erlangen, FRG	GCA_000845465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/845/465/GCF_000845465.1_ViralProj14417	na	ICTV species exemplar	na	haploid	viral	112930	112930	34.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	76	76	0	1321287
GCF_000839745.1	PRJNA485481	na	na	na	10385	3050246	Bovine gammaherpesvirus 4	na	na	latest	Complete Genome	Major	Full	2001-02-22	ViralProj14110	Project P24, Robert Koch-Institut	GCA_000839745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/745/GCF_000839745.1_ViralProj14110	na	ICTV species exemplar	na	haploid	viral	108873	108873	41.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	79	79	0	11152491
GCF_000847005.1	PRJNA485481	na	na	na	10386	3050286	Gallid alphaherpesvirus 1	strain=Composite of 6 strains	na	latest	Chromosome	Major	Partial	2005-01-14	ViralProj14566	National Center for Biotechnology Information, NIH	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/005/GCF_000847005.1_ViralProj14566	partial	na	na	haploid	viral	148687	148687	48.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	79	79	0	16873243
GCF_008787145.1	PRJNA485481	na	na	na	10386	3050286	Gallid alphaherpesvirus 1	strain=SA2	na	latest	Complete Genome	Major	Full	2023-05-04	ASM878714v1	School of Veterinary Science, The University of Melbourne	GCA_008787145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/787/145/GCF_008787145.1_ASM878714v1	na	ICTV species exemplar	na	haploid	viral	152975	152975	48.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-05-04	79	79	0	22044743
GCF_000846265.1	PRJNA485481	na	na	na	10390	3050287	Gallid alphaherpesvirus 2	strain=Md5	na	latest	Complete Genome	Major	Full	2007-02-15	ViralProj14402	African Swine Fever Research, Plum Island Animal Disease Center, U.S. Dept. Agriculture, Agricultural Research Service	GCA_000846265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/846/265/GCF_000846265.1_ViralProj14402	na	ICTV species exemplar	na	haploid	viral	177874	177874	44.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	87	85	2	10933706
GCF_000849685.1	PRJNA485481	na	na	na	10397	3050362	Tupaiid betaherpesvirus 1	strain=2	na	latest	Complete Genome	Major	Full	2001-05-30	ViralProj14597	University of Heidelberg, Institute for Medical Virology	GCA_000849685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/685/GCF_000849685.1_ViralProj14597	na	ICTV species exemplar	na	haploid	viral	195859	195859	66.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	158	158	0	11312357
GCF_000866865.1	PRJNA485481	na	na	na	10398	3050332	Ovine gammaherpesvirus 2	strain=BJ1035	na	latest	Complete Genome	Major	Full	2005-12-15	ViralProj16234	Infection and Host Defence, University of Liverpool	GCA_000866865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/866/865/GCF_000866865.1_ViralProj16234	na	ICTV species exemplar	na	haploid	viral	135135	135135	53.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	73	72	0	19249164
GCF_000839325.1	PRJNA485481	na	na	na	10401	3050301	Ictalurid herpesvirus 1	strain=Auburn 1	na	latest	Complete Genome	Major	Full	2013-07-02	ViralProj14018	MRC Virology Unit	GCA_000839325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/325/GCF_000839325.1_ViralProj14018	na	ICTV species exemplar	na	haploid	viral	134226	134226	56.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	90	90	0	1727613
GCF_000837845.1	PRJNA485481	na	na	na	10406	10406	Ground squirrel hepatitis virus	na	na	latest	Complete Genome	Major	Full	2000-08-01	ViralProj14070	NCBI	GCA_000837845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/845/GCF_000837845.1_ViralProj14070	na	ICTV species exemplar	na	haploid	viral	3311	3311	43.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	4	4	0	6086950
GCF_000861825.2	PRJNA485481	na	na	na	10407	10407	Hepatitis B virus	strain=ayw	na	latest	Scaffold	Major	Full	2015-10-23	ViralProj15428	NCBI Genome Project	GCA_000861825.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/825/GCF_000861825.2_ViralProj15428	na	ICTV species exemplar	na	haploid	viral	3182	3182	48.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-03-25	4	4	0	17699570;399327;15731337
GCF_000846205.1	PRJNA485481	na	na	na	10449	3048188	Lymantria dispar multiple nucleopolyhedrovirus	na	na	latest	Complete Genome	Major	Full	2000-08-01	ViralProj14390	NCBI	GCA_000846205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/846/205/GCF_000846205.1_ViralProj14390	na	ICTV species exemplar	na	haploid	viral	161046	161046	57.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	164	164	0	9887315
GCF_000839865.1	PRJNA485481	na	na	na	10454	10454	Spodoptera exigua multiple nucleopolyhedrovirus	na	na	latest	Complete Genome	Major	Full	2000-08-01	ViralProj14134	Virology, Wageningen Agricultural University	GCA_000839865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/865/GCF_000839865.1_ViralProj14134	na	ICTV species exemplar	na	haploid	viral	135611	135611	44.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	142	139	0	10567663
