Index	Sequence ID	Virus Tax ID	FTP Path
284	AF491306	N/A	N/A
285	AF524867	12060	N/A
286	AF525933	N/A	N/A
287	AF525934	N/A	N/A
288	AF525935	N/A	N/A
289	AF525936	N/A	N/A
290	AF527608	200913	N/A
291	AJ005695	39085	N/A
292	AJ132574	N/A	N/A
293	AJ132575	N/A	N/A
294	AJ132961	12080	N/A
295	AJ132997	3052230	N/A
296	AJ223505	220940	N/A
297	AJ224504	268332	N/A
298	AJ251937	110944	N/A
299	AJ276479	N/A	N/A
300	AJ276480	N/A	N/A
301	AJ276481	N/A	N/A
302	AJ304858	291401	N/A
303	AJ308425	N/A	N/A
304	AJ311031	290587	N/A
305	AJ314739	N/A	N/A
306	AJ314740	N/A	N/A
307	AJ319674	221526	N/A
308	AJ400628	120381	N/A
309	AJ420316	221530	N/A
310	AJ420317	221531	N/A
311	AJ420318	222473	N/A
312	AJ421943	181485	N/A
313	AJ457823	221525	N/A
314	AJ457824	222476	N/A
315	AJ457985	221532	N/A
316	AJ457986	223250	N/A
317	AJ496286	222466	N/A
318	AJ496287	223255	N/A
319	AJ512761	269282	N/A
320	AJ512762	269283	N/A
321	AJ536073	1075161	N/A
322	AJ543429	240867	N/A
323	AJ550635	225067	N/A
324	AJ550940	225588	N/A
325	AJ564742	269281	N/A
326	AJ564743	269280	N/A
327	AJ566744	269284	N/A
328	AJ577589	12078	N/A
329	AJ579307	N/A	N/A
330	AJ579308	N/A	N/A
331	AJ620205	10591	N/A
332	AJ620208	10563	N/A
333	AJ620209	333771	N/A
334	AJ620211	260717	N/A
335	AJ748296	282066	N/A
336	AJ781302	284541	N/A
337	AJ781401	N/A	N/A
338	AJ781402	N/A	N/A
339	AJ810156	289998	N/A
340	AJ810157	289999	N/A
341	AJ849916	298133	N/A
342	AJ865337	220944	N/A
343	AJ880277	159079	N/A
344	AJ889866	122280	N/A
345	AJ889867	317719	N/A
346	AJ889868	317720	N/A
347	AJ889918	195055	N/A
348	AJ971263	329291	N/A
349	AM076770	342373	N/A
350	AM113988	317718	N/A
351	AM157175	31738	N/A
352	AM181683	366681	N/A
353	AM183224	371463	N/A
354	AM230634	371402	N/A
355	AM230635	371403	N/A
356	AM230643	371411	N/A
357	AM230644	371412	N/A
358	AM230645	371413	N/A
359	AM235750	N/A	N/A
360	AM261326	382677	N/A
361	AM282986	10408	N/A
362	AM404308	406269	N/A
363	AM421522	418448	N/A
364	AM498051	N/A	N/A
365	AM498052	N/A	N/A
366	AM498053	N/A	N/A
367	AM498054	N/A	N/A
368	AM498055	N/A	N/A
369	AM498056	N/A	N/A
370	AM498057	N/A	N/A
371	AM498058	N/A	N/A
372	AM498059	N/A	N/A
373	AM498060	N/A	N/A
374	AM501482	126794	N/A
375	AM711976	443975	N/A
376	AM712003	444002	N/A
377	AM712004	444003	N/A
378	AM712030	444029	N/A
379	AM712031	444030	N/A
380	AM712032	444031	N/A
381	AM712033	444032	N/A
382	AM712034	444033	N/A
383	AM712436	587313	N/A
384	AM744987	N/A	N/A
385	AM744988	N/A	N/A
386	AM744989	N/A	N/A
387	AM744990	N/A	N/A
388	AM744991	N/A	N/A
389	AM744992	N/A	N/A
390	AM744993	N/A	N/A
391	AM744994	N/A	N/A
392	AM744995	N/A	N/A
393	AM744996	N/A	N/A
394	AM744997	N/A	N/A
395	AM744998	N/A	N/A
396	AM744999	N/A	N/A
397	AM745000	N/A	N/A
398	AM745001	N/A	N/A
399	AM745002	N/A	N/A
400	AM745003	N/A	N/A
401	AM745004	N/A	N/A
402	AM745005	N/A	N/A
403	AM745006	N/A	N/A
404	AM745007	N/A	N/A
405	AM745008	N/A	N/A
406	AM745009	N/A	N/A
407	AM745010	N/A	N/A
408	AM745011	N/A	N/A
409	AM745012	N/A	N/A
410	AM745013	N/A	N/A
411	AM745014	N/A	N/A
412	AM745015	N/A	N/A
413	AM745016	N/A	N/A
414	AM745017	N/A	N/A
415	AM745018	N/A	N/A
416	AM745019	N/A	N/A
417	AM745020	N/A	N/A
418	AM745021	N/A	N/A
419	AM745022	N/A	N/A
420	AM745023	N/A	N/A
421	AM745024	N/A	N/A
422	AM745025	N/A	N/A
423	AM745026	N/A	N/A
424	AM745027	N/A	N/A
425	AM745028	N/A	N/A
426	AM745029	N/A	N/A
427	AM745030	N/A	N/A
428	AM745031	N/A	N/A
429	AM745032	N/A	N/A
430	AM745033	N/A	N/A
431	AM745034	N/A	N/A
432	AM745035	N/A	N/A
433	AM745036	N/A	N/A
434	AM745037	N/A	N/A
435	AM745038	N/A	N/A
436	AM745039	N/A	N/A
437	AM745040	N/A	N/A
438	AM745041	N/A	N/A
439	AM745042	N/A	N/A
440	AM745043	N/A	N/A
441	AM745044	N/A	N/A
442	AM745045	N/A	N/A
443	AM745046	N/A	N/A
444	AM745047	N/A	N/A
445	AM745048	N/A	N/A
446	AM745049	N/A	N/A
447	AM745050	N/A	N/A
448	AM745051	N/A	N/A
449	AM745052	N/A	N/A
450	AM745053	N/A	N/A
451	AM745054	N/A	N/A
452	AM745055	N/A	N/A
453	AM745056	N/A	N/A
454	AM745057	N/A	N/A
455	AM745058	N/A	N/A
456	AM745059	N/A	N/A
457	AM745060	N/A	N/A
458	AM745061	N/A	N/A
459	AM745062	N/A	N/A
460	AM745063	N/A	N/A
461	AM745064	N/A	N/A
462	AM745065	N/A	N/A
463	AM745066	N/A	N/A
464	AM745067	N/A	N/A
465	AM745068	N/A	N/A
466	AM745069	N/A	N/A
467	AM745070	N/A	N/A
468	AM745071	N/A	N/A
469	AM745072	N/A	N/A
470	AM745073	N/A	N/A
471	AM745074	N/A	N/A
472	AM745075	N/A	N/A
473	AM745076	N/A	N/A
474	AM745077	N/A	N/A
475	AM745078	N/A	N/A
476	AM745079	N/A	N/A
477	AM745080	N/A	N/A
478	AM745081	N/A	N/A
479	AM745082	N/A	N/A
480	AM745083	N/A	N/A
481	AM745084	N/A	N/A
482	AM745085	N/A	N/A
483	AM745086	N/A	N/A
484	AM749118	453139	N/A
485	AM749119	453140	N/A
486	AM749120	453141	N/A
487	AM749299	10529	N/A
488	AM774356	457004	N/A
489	AM774357	457005	N/A
490	AM777161	458152	N/A
491	AM886412	69156	N/A
492	AM910652	484894	N/A
493	AM922264	497862	N/A
494	AM940137	501251	N/A
495	AM980883	520123	N/A
496	AM989927	522359	N/A
497	AP000400	462299	N/A
498	AP004402	180816	N/A
499	AP010907	566972	N/A
500	AP012285	1094363	N/A
501	AP012302	1101371	N/A
502	AP012529	1226252	N/A
503	AP012530	1226253	N/A
504	AP012531	1226254	N/A
505	AP012533	1226256	N/A
506	AP012534	1226257	N/A
507	AP012536	1226259	N/A
508	AP012538	1226261	N/A
509	AP014715	1608311	N/A
510	AP014858	1653734	N/A
511	AP014887	1903259	N/A
512	AP014888	1903260	N/A
513	AP014889	1674945	N/A
514	AP017925	1923890	N/A
515	AP018375	2028134	N/A
516	AP018399	2042251	N/A
517	AP018462	2070496	N/A
518	AP018463	2070497	N/A
519	AP018469	N/A	N/A
520	AP018470	2072011	N/A
521	AP018471	N/A	N/A
522	AP018476	2072005	N/A
523	AP018477	2072006	N/A
524	AP018478	2072003	N/A
525	AP018479	N/A	N/A
526	AP018480	N/A	N/A
527	AP018485	N/A	N/A
528	AP018714	2218497	N/A
529	AP018715	2218498	N/A
530	AP019415	2056127	N/A
531	AP019417	2508208	N/A
532	AP019418	2499142	N/A
533	AP019521	2382092	N/A
534	AP019522	2496589	N/A
535	AP019525	2547426	N/A
536	AY009089	203172	N/A
537	AY010722	12207	N/A
538	AY032605	158465	N/A
539	AY036009	223279	N/A
540	AY036010	222461	N/A
541	AY090555	223319	N/A
542	AY090556	191461	N/A
543	AY090557	223339	N/A
544	AY090558	223320	N/A
545	AY134748	52276	N/A
546	AY150217	217733	N/A
547	AY190290	N/A	N/A
548	AY190291	N/A	N/A
549	AY260941	N/A	N/A
550	AY260942	N/A	N/A
551	AY260943	N/A	N/A
552	AY260944	N/A	N/A
553	AY260945	N/A	N/A
554	AY260946	N/A	N/A
555	AY260947	N/A	N/A
556	AY260948	N/A	N/A
557	AY260949	N/A	N/A
558	AY260950	N/A	N/A
559	AY260951	N/A	N/A
560	AY260952	N/A	N/A
561	AY260953	N/A	N/A
562	AY260954	N/A	N/A
563	AY260955	N/A	N/A
564	AY260956	N/A	N/A
565	AY278488	228407	N/A
566	AY278491	228404	N/A
567	AY278554	228415	N/A
568	AY278741	228330	N/A
569	AY297819	184610	N/A
570	AY302539	47501	N/A
571	AY302540	47502	N/A
572	AY302541	47503	N/A
573	AY302542	47504	N/A
574	AY302543	47505	N/A
575	AY302544	47507	N/A
576	AY302545	35294	N/A
577	AY302546	47508	N/A
578	AY302547	47509	N/A
579	AY302548	47510	N/A
580	AY302549	45101	N/A
581	AY302550	47511	N/A
582	AY302551	45999	N/A
583	AY302552	47512	N/A
584	AY302553	47516	N/A
585	AY302554	47513	N/A
586	AY302555	47514	N/A
587	AY302556	47515	N/A
588	AY302557	35295	N/A
589	AY302559	46018	N/A
590	AY302560	171720	N/A
591	AY328852	238892	N/A
592	AY328853	238893	N/A
593	AY350750	253433	N/A
594	AY353550	253182	N/A
595	AY357075	253434	N/A
596	AY357076	253435	N/A
597	AY394850	247149	N/A
598	AY395706	334210	N/A
599	AY429470	12075	N/A
600	AY441783	N/A	N/A
601	AY458656	28280	N/A
602	AY462107	263532	N/A
603	AY484669	32606	N/A
604	AY485642	258453	N/A
605	AY486084	70149	N/A
606	AY508697	269638	N/A
607	AY513267	147263	N/A
608	AY515512	260069	N/A
609	AY518894	270642	N/A
610	AY526908	263374	N/A
611	AY526909	263375	N/A
612	AY528864	2560570	N/A
613	AY532606	263891	N/A
614	AY554397	279150	N/A
615	AY556057	222889	N/A
616	AY556070	282345	N/A
617	AY575773	29276	N/A
618	AY588319	288959	N/A
619	AY593765	12111	N/A
620	AY593796	110195	N/A
621	AY593805	12121	N/A
622	AY593806	46290	N/A
623	AY593808	46291	N/A
624	AY593809	46292	N/A
625	AY593840	12122	N/A
626	AY593847	35292	N/A
627	AY593851	12123	N/A
628	AY646283	284515	N/A
629	AY646511	33759	N/A
630	AY650283	283663	N/A
631	AY651828	N/A	N/A
632	AY651829	N/A	N/A
633	AY651830	N/A	N/A
634	AY657002	1582354	N/A
635	AY666015	127569	N/A
636	AY685920	N/A	N/A
637	AY685921	N/A	N/A
638	AY686687	290057	N/A
639	AY689437	305676	N/A
640	AY737797	10548	N/A
641	AY737798	107462	N/A
642	AY741811	296145	N/A
643	AY743910	296738	N/A
644	AY751298	N/A	N/A
645	AY751783	185907	N/A
646	AY754814	407838	N/A
647	AY766464	314021	N/A
648	AY772730	150137	N/A
649	AY773285	297248	N/A
650	AY779031	216928	N/A
651	AY800279	315713	N/A
652	AY803294	10521	N/A
653	AY842931	307044	N/A
654	AY843297	2760813	N/A
655	AY843298	318563	N/A
656	AY843299	318564	N/A
657	AY843300	318565	N/A
658	AY843301	318566	N/A
659	AY843302	222887	N/A
660	AY843303	318568	N/A
661	AY843304	318569	N/A
662	AY843305	318570	N/A
663	AY843306	318571	N/A
664	AY843307	N/A	N/A
665	AY843308	408681	N/A
666	AY848684	318593	N/A
667	AY848685	318594	N/A
668	AY848687	318596	N/A
669	AY848688	N/A	N/A
670	AY849321	318490	N/A
671	AY859526	356391	N/A
672	AY863002	64287	N/A
673	AY864805	321147	N/A
674	AY864806	321149	N/A
675	AY875648	46941	N/A
676	AY876912	310755	N/A
677	AY876913	310756	N/A
678	AY894343	322017	N/A
679	AY894696	311221	N/A
680	AY898809	44017	N/A
681	AY904722	323364	N/A
682	AY904723	2773289	N/A
683	AY904724	2772508	N/A
684	AY954948	320831	N/A
685	AY972082	325110	N/A
686	CP000711	539221	N/A
687	CP008753	1514988	N/A
688	CP011103	1633782	N/A
689	CP011970	1677909	N/A
690	CP013282	1768917	N/A
691	CP013974	2282175	N/A
692	CP017837	1912592	N/A
693	CP017838	1912593	N/A
694	CP017905	1912326	N/A
695	CP017906	1912327	N/A
696	CP018841	1929941	N/A
697	CP019719	1959007	N/A
698	CP025902	2716353	N/A
699	CP025907	2783517	N/A
700	CP027117	2100124	N/A
701	CP038007	2555680	N/A
702	CP045566	2704418	N/A
703	CP050061	2717165	N/A
704	CP051272	2725678	N/A
705	CP051275	2725679	N/A
706	CP051278	2725680	N/A
707	CP051279	2725681	N/A
708	CP051285	2725682	N/A
709	CP051288	2725683	N/A
710	CP052843	2731333	N/A
711	CP053388	N/A	N/A
712	CP054387	N/A	N/A
713	CP058330	2749259	N/A
714	CP058906	219292	N/A
715	CP060690	2766990	N/A
716	CP062422	2777221	N/A
717	CP062426	2777220	N/A
718	CP062427	2777219	N/A
719	CP062430	2777218	N/A
720	CP062434	2777217	N/A
721	CP062435	2777225	N/A
722	CP062436	2777216	N/A
723	CP062442	2777215	N/A
724	CP062444	2777214	N/A
725	CP062445	2777224	N/A
726	CP062447	2777213	N/A
727	CP062451	2777211	N/A
728	CP062454	2777210	N/A
729	CP062457	2777223	N/A
730	CP062461	2777222	N/A
731	CP062462	2777226	N/A
732	CP062992	2779655	N/A
733	CP063417	2781896	N/A
734	CP063964	2782718	N/A
735	CP063968	2782719	N/A
736	CP067347	2802960	N/A
737	CP067352	2802961	N/A
738	CP069347	2801343	N/A
739	CP069348	2801346	N/A
740	CP071049	2814453	N/A
741	CP072507	2821746	N/A
742	CP084202	2879120	N/A
743	CP091911	2915629	N/A
744	CP101890	2967960	N/A
745	CP101896	2967961	N/A
746	CP103806	2998861	N/A
747	CP103976	2976353	N/A
748	CP111102	2995115	N/A
749	CP115603	3019178	N/A
750	CP115737	3019910	N/A
751	CP124119	3043428	N/A
752	CP124927	3045170	N/A
753	CP124930	N/A	N/A
754	CP124934	N/A	N/A
755	CP124938	N/A	N/A
756	CP124941	N/A	N/A
757	CP124942	N/A	N/A
758	CP124949	N/A	N/A
759	CP124952	N/A	N/A
760	CP124955	N/A	N/A
761	CP124959	3045171	N/A
762	CP124962	N/A	N/A
763	CY011112	N/A	N/A
764	CY011113	N/A	N/A
765	CY011114	N/A	N/A
766	CY011115	N/A	N/A
767	CY011116	N/A	N/A
768	CY011117	N/A	N/A
769	CY011118	N/A	N/A
770	CY011119	N/A	N/A
771	CY011120	N/A	N/A
772	CY011121	N/A	N/A
773	CY011122	N/A	N/A
774	CY011123	N/A	N/A
775	CY011124	N/A	N/A
776	CY011125	N/A	N/A
777	CY011126	N/A	N/A
778	CY011127	N/A	N/A
779	CY011128	N/A	N/A
780	CY011129	N/A	N/A
781	CY011130	N/A	N/A
782	CY011131	N/A	N/A
783	CY011132	N/A	N/A
784	CY011133	N/A	N/A
785	CY011134	N/A	N/A
786	CY011135	N/A	N/A
787	CY011136	N/A	N/A
788	CY011137	N/A	N/A
789	CY011138	N/A	N/A
790	CY011139	N/A	N/A
791	CY011140	N/A	N/A
792	CY011141	N/A	N/A
793	CY011142	N/A	N/A
794	CY011143	N/A	N/A
795	MBGACG	N/A	N/A
796	MBGBCG	N/A	N/A
797	HRVACG	N/A	N/A
798	SVDG	N/A	N/A
799	SMVCPA	N/A	N/A
800	CXA21CG	N/A	N/A
801	CXA9CG	N/A	N/A
802	EV70CG	N/A	N/A
803	PYVVA	N/A	N/A
804	DPPPLE	N/A	N/A
805	DPFPE	N/A	N/A
806	D21208	37120	N/A
807	D84000	12240	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/866/985/GCF_002866985.1_ASM286698v1
808	PPH5BCG	N/A	N/A
809	PPH58	N/A	N/A
810	CXA24CG	N/A	N/A
811	DQ003260	2847283	N/A
812	DQ011234	334425	N/A
813	DQ011855	42005	N/A
814	DQ028633	35741	N/A
815	DQ058829	2849733	N/A
816	DQ070852	35300	N/A
817	DQ075354	N/A	N/A
818	DQ075355	N/A	N/A
819	DQ075356	N/A	N/A
820	DQ075357	N/A	N/A
821	DQ075358	N/A	N/A
822	DQ075359	N/A	N/A
823	DQ075360	N/A	N/A
824	DQ079878	338109	N/A
825	DQ079880	338111	N/A
826	DQ079881	338112	N/A
827	DQ079882	338113	N/A
828	DQ079883	338114	N/A
829	DQ079884	338115	N/A
830	DQ079885	338116	N/A
831	DQ079886	338117	N/A
832	DQ079887	338118	N/A
833	DQ079888	338119	N/A
834	DQ079889	338120	N/A
835	DQ079890	338121	N/A
836	DQ079891	338122	N/A
837	DQ079892	338123	N/A
838	DQ079893	338124	N/A
839	DQ079894	338125	N/A
840	DQ079895	338126	N/A
841	DQ079896	338127	N/A
842	DQ079897	338128	N/A
843	DQ079898	338129	N/A
844	DQ079899	338130	N/A
845	DQ079900	338131	N/A
846	DQ079901	338132	N/A
847	DQ079902	338133	N/A
848	DQ079903	338134	N/A
849	DQ079904	338135	N/A
850	DQ079905	338136	N/A
851	DQ079906	338137	N/A
852	DQ079907	338138	N/A
853	DQ079909	338140	N/A
854	DQ080079	338322	N/A
855	DQ080080	338324	N/A
856	DQ080082	338326	N/A
857	DQ080083	338327	N/A
858	DQ086466	45659	N/A
859	DQ090005	334514	N/A
860	DQ093792	28332	N/A
861	DQ098913	2758968	N/A
862	DQ098917	374078	N/A
863	DQ113772	341698	N/A
864	DQ180494	2848325	N/A
865	DQ192570	1891748	N/A
866	DQ192571	1891751	N/A
867	DQ196318	344970	N/A
868	DQ196319	344971	N/A
869	DQ217792	N/A	N/A
870	DQ218419	348291	N/A
871	DQ218420	348292	N/A
872	DQ218421	348293	N/A
873	DQ238861	353633	N/A
874	DQ241301	356663	N/A
875	DQ241302	356664	N/A
876	DQ256132	N/A	N/A
877	DQ256133	N/A	N/A
878	DQ256134	N/A	N/A
879	DQ286292	359302	N/A
880	DQ289556	359962	N/A
881	DQ294633	12107	N/A
882	DQ315364	10524	N/A
883	DQ315670	N/A	N/A
