Index,Sequence ID,Virus Tax ID,FTP Path,RefSeq Filename,Query Length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
155,AC_000018,10519,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/485/GCF_000859485.1_ViralProj15114,GCF_000859485.1_ViralProj15114_genomic.fna,35514,35514,/Users/gboldirev1/Documents/refseq/155_AC_000018_blast.xml,0,0,0,0,0,0,0,0,35514,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/155_AC_000018_blast_subject_array_1748966450.bin
156,AC_000019,10522,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/885/GCF_000857885.1_ViralProj15115,GCF_000857885.1_ViralProj15115_genomic.fna,34794,34794,/Users/gboldirev1/Documents/refseq/156_AC_000019_blast.xml,0,0,0,0,0,0,0,0,34794,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/156_AC_000019_blast_subject_array_1748966450.bin
157,AC_000020,10514,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/885/GCF_000856885.1_ViralProj15102,GCF_000856885.1_ViralProj15102_genomic.fna,31323,31323,/Users/gboldirev1/Documents/refseq/157_AC_000020_blast.xml,0,0,0,0,0,0,0,0,31323,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/157_AC_000020_blast_subject_array_1748966450.bin
160,AC_000191,129953,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/265/GCF_000847265.1_ViralProj14612,GCF_000847265.1_ViralProj14612_genomic.fna,34185,34185,/Users/gboldirev1/Documents/refseq/160_AC_000191_blast.xml,0,0,0,0,0,0,0,0,34185,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/160_AC_000191_blast_subject_array_1748966450.bin
200,AF133051,64462,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/665/GCF_002829665.1_ASM282966v1,GCF_002829665.1_ASM282966v1_genomic.fna,12999,3603,/Users/gboldirev1/Documents/refseq/200_AF133051_blast.xml,0,0,0,0,0,0,0,0,3602,0,0,1,0,0,0,/Users/gboldirev1/Documents/refseq/200_AF133051_blast_subject_array_1748966450.bin
201,AF133052,64461,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/685/GCF_002829685.1_ASM282968v1,GCF_002829685.1_ASM282968v1_genomic.fna,13125,3741,/Users/gboldirev1/Documents/refseq/201_AF133052_blast.xml,0,0,0,0,0,0,0,0,3737,0,0,4,0,0,0,/Users/gboldirev1/Documents/refseq/201_AF133052_blast_subject_array_1748966450.bin
807,D84000,12240,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/866/985/GCF_002866985.1_ASM286698v1,GCF_002866985.1_ASM286698v1_genomic.fna,6483,6483,/Users/gboldirev1/Documents/refseq/807_D84000_blast.xml,0,0,0,0,0,0,0,0,6471,0,0,12,0,0,0,/Users/gboldirev1/Documents/refseq/807_D84000_blast_subject_array_1748966450.bin
2035,JX997169,46019,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/827/625/GCF_002827625.1_ASM282762v1,GCF_002827625.1_ASM282762v1_genomic.fna,323497,426,/Users/gboldirev1/Documents/refseq/2035_JX997169_blast.xml,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,/Users/gboldirev1/Documents/refseq/2035_JX997169_blast_subject_array_1748966450.bin
3800,KY385304,674908,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/585/GCF_002828585.1_ASM282858v1,GCF_002828585.1_ASM282858v1_genomic.fna,9462,1140,/Users/gboldirev1/Documents/refseq/3800_KY385304_blast.xml,0,0,0,0,0,0,1,203,789,0,0,147,0,0,0,/Users/gboldirev1/Documents/refseq/3800_KY385304_blast_subject_array_1748966450.bin
3906,KY823429,185692,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/817/895/GCF_002817895.1_ASM281789v1,GCF_002817895.1_ASM281789v1_genomic.fna,6088,1115,/Users/gboldirev1/Documents/refseq/3906_KY823429_blast.xml,0,0,0,0,0,0,0,418,591,0,0,106,0,0,0,/Users/gboldirev1/Documents/refseq/3906_KY823429_blast_subject_array_1748966450.bin
3989,LC511903,114923,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/345/GCF_002828345.1_ASM282834v1,GCF_002828345.1_ASM282834v1_genomic.fna,9609,1754,/Users/gboldirev1/Documents/refseq/3989_LC511903_blast.xml,0,0,0,0,0,0,0,0,1754,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/3989_LC511903_blast_subject_array_1748966450.bin
3999,LC564887,255521,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/830/645/GCF_002830645.1_ASM283064v1,GCF_002830645.1_ASM283064v1_genomic.fna,4704,1194,/Users/gboldirev1/Documents/refseq/3999_LC564887_blast.xml,0,0,0,0,0,0,0,1,1120,0,0,73,0,0,0,/Users/gboldirev1/Documents/refseq/3999_LC564887_blast_subject_array_1748966450.bin
4033,LC604020,341111,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/925/GCF_002828925.1_ASM282892v1,GCF_002828925.1_ASM282892v1_genomic.fna,9537,1548,/Users/gboldirev1/Documents/refseq/4033_LC604020_blast.xml,0,0,0,0,0,0,0,26,1483,0,0,39,0,0,0,/Users/gboldirev1/Documents/refseq/4033_LC604020_blast_subject_array_1748966450.bin
4141,LC658681,430059,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/145/GCF_002829145.1_ASM282914v1,GCF_002829145.1_ASM282914v1_genomic.fna,9451,1612,/Users/gboldirev1/Documents/refseq/4141_LC658681_blast.xml,0,0,0,0,0,0,0,17,1579,0,1,15,0,0,0,/Users/gboldirev1/Documents/refseq/4141_LC658681_blast_subject_array_1748966450.bin
6773,MH779474,369762,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/987/545/GCF_002987545.1_ASM298754v1,GCF_002987545.1_ASM298754v1_genomic.fna,10140,1646,/Users/gboldirev1/Documents/refseq/6773_MH779474_blast.xml,0,0,0,0,0,0,1,33,1436,0,1,175,0,0,0,/Users/gboldirev1/Documents/refseq/6773_MH779474_blast_subject_array_1748966450.bin
6862,MH886517,12229,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/105/GCF_002829105.1_ASM282910v1,GCF_002829105.1_ASM282910v1_genomic.fna,9081,3414,/Users/gboldirev1/Documents/refseq/6862_MH886517_blast.xml,0,0,0,2,0,0,1,3,3369,0,3,36,0,0,0,/Users/gboldirev1/Documents/refseq/6862_MH886517_blast_subject_array_1748966450.bin
8534,MK770418,241525,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/817/515/GCF_002817515.1_ASM281751v1,GCF_002817515.1_ASM281751v1_genomic.fna,8524,1040,/Users/gboldirev1/Documents/refseq/8534_MK770418_blast.xml,0,0,0,0,0,0,1,2,885,0,1,151,0,0,0,/Users/gboldirev1/Documents/refseq/8534_MK770418_blast_subject_array_1748966450.bin
8905,MN116683,565624,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/987/555/GCF_002987555.1_ASM298755v1,GCF_002987555.1_ASM298755v1_genomic.fna,9659,1832,/Users/gboldirev1/Documents/refseq/8905_MN116683_blast.xml,0,0,0,0,0,0,6,7,1604,0,7,208,0,0,0,/Users/gboldirev1/Documents/refseq/8905_MN116683_blast_subject_array_1748966450.bin
10240,MT263075,551003,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/725/GCF_002828725.1_ASM282872v1,GCF_002828725.1_ASM282872v1_genomic.fna,9681,1439,/Users/gboldirev1/Documents/refseq/10240_MT263075_blast.xml,0,0,0,0,0,0,1,1,1413,0,0,24,0,0,0,/Users/gboldirev1/Documents/refseq/10240_MT263075_blast_subject_array_1748966450.bin
10992,MT892648,260374,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/125/GCF_002828125.1_ASM282812v1,GCF_002828125.1_ASM282812v1_genomic.fna,9778,1867,/Users/gboldirev1/Documents/refseq/10992_MT892648_blast.xml,0,0,0,0,0,0,0,14,1833,0,0,20,0,0,0,/Users/gboldirev1/Documents/refseq/10992_MT892648_blast_subject_array_1748966450.bin
11107,MW035311,186643,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/685/GCF_002828685.1_ASM282868v1,GCF_002828685.1_ASM282868v1_genomic.fna,9411,1147,/Users/gboldirev1/Documents/refseq/11107_MW035311_blast.xml,0,0,0,0,0,0,0,0,1129,0,0,18,0,0,0,/Users/gboldirev1/Documents/refseq/11107_MW035311_blast_subject_array_1748966450.bin
11412,MW314143,190503,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/265/GCF_002829265.1_ASM282926v1,GCF_002829265.1_ASM282926v1_genomic.fna,9346,1635,/Users/gboldirev1/Documents/refseq/11412_MW314143_blast.xml,0,0,0,0,0,0,13,20,1279,0,2,321,0,0,0,/Users/gboldirev1/Documents/refseq/11412_MW314143_blast_subject_array_1748966450.bin
12067,MZ066625,1074428,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/817/275/GCF_002817275.1_ASM281727v1,GCF_002817275.1_ASM281727v1_genomic.fna,8173,6964,/Users/gboldirev1/Documents/refseq/12067_MZ066625_blast.xml,0,0,0,2,0,0,28,4740,1666,0,43,485,0,0,0,/Users/gboldirev1/Documents/refseq/12067_MZ066625_blast_subject_array_1748966450.bin
12155,MZ130936,255520,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/988/035/GCF_002988035.1_ASM298803v1,GCF_002988035.1_ASM298803v1_genomic.fna,4739,1305,/Users/gboldirev1/Documents/refseq/12155_MZ130936_blast.xml,0,0,0,0,0,0,0,3,1297,0,0,5,0,0,0,/Users/gboldirev1/Documents/refseq/12155_MZ130936_blast_subject_array_1748966450.bin
12266,MZ291906,51617,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/817/775/GCF_002817775.1_ASM281777v1,GCF_002817775.1_ASM281777v1_genomic.fna,7486,852,/Users/gboldirev1/Documents/refseq/12266_MZ291906_blast.xml,0,0,0,1,0,0,3,8,776,0,0,64,0,0,0,/Users/gboldirev1/Documents/refseq/12266_MZ291906_blast_subject_array_1748966450.bin
12880,NC_000852,10506,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/045/GCF_000847045.1_ViralProj14564,GCF_000847045.1_ViralProj14564_genomic.fna,330611,330611,/Users/gboldirev1/Documents/refseq/12880_NC_000852_blast.xml,0,0,0,0,0,0,0,0,330611,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12880_NC_000852_blast_subject_array_1748966450.bin
12881,NC_000855,1147160,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/505/GCF_000856505.1_ViralProj15017,GCF_000856505.1_ViralProj15017_genomic.fna,11158,11158,/Users/gboldirev1/Documents/refseq/12881_NC_000855_blast.xml,0,0,0,0,0,0,0,0,11158,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12881_NC_000855_blast_subject_array_1748966450.bin
12882,NC_000858,194440,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/125/GCF_000861125.1_ViralProj15439,GCF_000861125.1_ViralProj15439_genomic.fna,9028,9028,/Users/gboldirev1/Documents/refseq/12882_NC_000858_blast.xml,0,0,0,0,0,0,0,0,9028,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12882_NC_000858_blast_subject_array_1748966450.bin
12883,NC_000866,2681598,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/945/GCF_000836945.1_ViralProj14044,GCF_000836945.1_ViralProj14044_genomic.fna,168903,168903,/Users/gboldirev1/Documents/refseq/12883_NC_000866_blast.xml,0,0,0,0,0,0,0,0,168903,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12883_NC_000866_blast_subject_array_1748966450.bin
12884,NC_000867,2905728,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/840/405/GCF_000840405.1_ViralProj14237,GCF_000840405.1_ViralProj14237_genomic.fna,10079,10079,/Users/gboldirev1/Documents/refseq/12884_NC_000867_blast.xml,0,0,0,0,0,0,0,0,10079,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12884_NC_000867_blast_subject_array_1748966450.bin
12887,NC_000871,2905685,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/445/GCF_000839445.1_ViralProj14045,GCF_000839445.1_ViralProj14045_genomic.fna,37370,37370,/Users/gboldirev1/Documents/refseq/12887_NC_000871_blast.xml,0,0,0,0,0,0,0,0,37370,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12887_NC_000871_blast_subject_array_1748966450.bin
12888,NC_000872,2905688,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/365/GCF_000837365.1_ViralProj14133,GCF_000837365.1_ViralProj14133_genomic.fna,40739,40739,/Users/gboldirev1/Documents/refseq/12888_NC_000872_blast.xml,0,0,0,0,0,0,0,0,40739,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12888_NC_000872_blast_subject_array_1748966450.bin
12889,NC_000874,94290,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/525/GCF_000861525.1_ViralProj15363,GCF_000861525.1_ViralProj15363_genomic.fna,5899,5899,/Users/gboldirev1/Documents/refseq/12889_NC_000874_blast.xml,0,0,0,0,0,0,0,2,5897,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12889_NC_000874_blast_subject_array_1748966450.bin
12890,NC_000882,83839,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/585/GCF_000838585.1_ViralProj14046,GCF_000838585.1_ViralProj14046_genomic.fna,2744,2744,/Users/gboldirev1/Documents/refseq/12890_NC_000882_blast.xml,0,0,0,0,0,0,0,0,2744,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12890_NC_000882_blast_subject_array_1748966450.bin
12891,NC_000883,10798,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/645/GCF_000839645.1_ViralProj14090,GCF_000839645.1_ViralProj14090_genomic.fna,5596,5596,/Users/gboldirev1/Documents/refseq/12891_NC_000883_blast.xml,0,0,0,0,0,0,0,0,5596,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12891_NC_000883_blast_subject_array_1748966450.bin
12892,NC_000885,100785,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/855/405/GCF_000855405.1_ViralProj14973,GCF_000855405.1_ViralProj14973_genomic.fna,360,360,/Users/gboldirev1/Documents/refseq/12892_NC_000885_blast.xml,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12892_NC_000885_blast_subject_array_1748966450.bin
12893,NC_000896,12417,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/805/GCF_000848805.1_ViralProj14588,GCF_000848805.1_ViralProj14588_genomic.fna,43785,43785,/Users/gboldirev1/Documents/refseq/12893_NC_000896_blast.xml,0,0,0,0,0,0,0,0,43785,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12893_NC_000896_blast_subject_array_1748966450.bin
12894,NC_000898,32604,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/846/365/GCF_000846365.1_ViralProj14422,GCF_000846365.1_ViralProj14422_genomic.fna,162114,162114,/Users/gboldirev1/Documents/refseq/12894_NC_000898_blast.xml,0,0,0,0,0,0,0,0,162114,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12894_NC_000898_blast_subject_array_1748966450.bin
12896,NC_000902,97081,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/844/925/GCF_000844925.1_ViralProj14480,GCF_000844925.1_ViralProj14480_genomic.fna,60942,60942,/Users/gboldirev1/Documents/refseq/12896_NC_000902_blast.xml,0,0,0,0,0,0,0,0,60942,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12896_NC_000902_blast_subject_array_1748966450.bin
12897,NC_000903,103603,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/265/GCF_000849265.1_ViralProj14689,GCF_000849265.1_ViralProj14689_genomic.fna,11550,11550,/Users/gboldirev1/Documents/refseq/12897_NC_000903_blast.xml,0,0,0,0,0,0,0,0,11550,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12897_NC_000903_blast_subject_array_1748966450.bin
12898,NC_000924,10730,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/725/GCF_000837725.1_ViralProj14043,GCF_000837725.1_ViralProj14043_genomic.fna,61670,61670,/Users/gboldirev1/Documents/refseq/12898_NC_000924_blast.xml,0,0,0,0,0,0,0,0,61670,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12898_NC_000924_blast_subject_array_1748966450.bin
12899,NC_000929,2681603,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/225/GCF_000837225.1_ViralProj14105,GCF_000837225.1_ViralProj14105_genomic.fna,36717,36717,/Users/gboldirev1/Documents/refseq/12899_NC_000929_blast.xml,0,0,0,0,0,0,0,0,36717,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12899_NC_000929_blast_subject_array_1748966450.bin
12900,NC_000935,2682836,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/745/GCF_000837745.1_ViralProj14047,GCF_000837745.1_ViralProj14047_genomic.fna,36524,36524,/Users/gboldirev1/Documents/refseq/12900_NC_000935_blast.xml,0,0,0,0,0,0,0,0,36524,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12900_NC_000935_blast_subject_array_1748966450.bin
12901,NC_000936,97344,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/785/GCF_000838785.1_ViralProj14091,GCF_000838785.1_ViralProj14091_genomic.fna,5454,5454,/Users/gboldirev1/Documents/refseq/12901_NC_000936_blast.xml,0,0,0,0,0,0,0,0,5454,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12901_NC_000936_blast_subject_array_1748966450.bin
12902,NC_000939,44562,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/825/GCF_000859825.1_ViralProj15185,GCF_000859825.1_ViralProj15185_genomic.fna,4415,4415,/Users/gboldirev1/Documents/refseq/12902_NC_000939_blast.xml,0,0,0,0,0,0,0,0,4415,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12902_NC_000939_blast_subject_array_1748966450.bin
12903,NC_000940,2849715,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/945/GCF_000849945.1_ViralProj14653,GCF_000849945.1_ViralProj14653_genomic.fna,7320,7320,/Users/gboldirev1/Documents/refseq/12903_NC_000940_blast.xml,0,0,0,0,0,0,0,0,7320,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12903_NC_000940_blast_subject_array_1748966450.bin
12905,NC_000943,11079,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/565/GCF_000863565.1_ViralProj15430,GCF_000863565.1_ViralProj15430_genomic.fna,11014,11014,/Users/gboldirev1/Documents/refseq/12905_NC_000943_blast.xml,0,0,0,0,0,0,0,0,11014,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12905_NC_000943_blast_subject_array_1748966450.bin
12906,NC_000947,79917,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/265/GCF_000863265.1_ViralProj15365,GCF_000863265.1_ViralProj15365_genomic.fna,9760,9760,/Users/gboldirev1/Documents/refseq/12906_NC_000947_blast.xml,0,0,0,0,0,0,0,0,9760,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12906_NC_000947_blast_subject_array_1748966450.bin
12907,NC_000960,106962,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/850/125/GCF_000850125.1_ViralProj14690,GCF_000850125.1_ViralProj14690_genomic.fna,9799,9799,/Users/gboldirev1/Documents/refseq/12907_NC_000960_blast.xml,0,0,0,0,0,0,0,0,9799,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12907_NC_000960_blast_subject_array_1748966450.bin
12908,NC_001132,10273,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/843/685/GCF_000843685.1_ViralProj14396,GCF_000843685.1_ViralProj14396_genomic.fna,161773,161773,/Users/gboldirev1/Documents/refseq/12908_NC_001132_blast.xml,0,0,0,0,0,0,0,0,161773,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12908_NC_001132_blast_subject_array_1748966450.bin
12909,NC_001265,11986,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/854/705/GCF_000854705.1_ViralProj14993,GCF_000854705.1_ViralProj14993_genomic.fna,4003,4003,/Users/gboldirev1/Documents/refseq/12909_NC_001265_blast.xml,0,0,0,0,0,0,0,0,4003,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12909_NC_001265_blast_subject_array_1748966450.bin
12910,NC_001266,10271,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/965/GCF_000847965.1_ViralProj14590,GCF_000847965.1_ViralProj14590_genomic.fna,159857,159857,/Users/gboldirev1/Documents/refseq/12910_NC_001266_blast.xml,0,0,0,0,0,0,0,0,159857,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12910_NC_001266_blast_subject_array_1748966450.bin
12911,NC_001270,93224,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/525/GCF_000838525.1_ViralProj14032,GCF_000838525.1_ViralProj14032_genomic.fna,6825,6825,/Users/gboldirev1/Documents/refseq/12911_NC_001270_blast.xml,0,0,0,0,0,0,0,0,6825,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12911_NC_001270_blast_subject_array_1748966450.bin
12912,NC_001271,110457,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/165/GCF_000847165.1_ViralProj14591,GCF_000847165.1_ViralProj14591_genomic.fna,39600,39600,/Users/gboldirev1/Documents/refseq/12912_NC_001271_blast.xml,0,0,0,0,0,0,0,0,39600,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12912_NC_001271_blast_subject_array_1748966451.bin
12913,NC_001278,111470,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/245/GCF_000856245.1_ViralProj14962,GCF_000856245.1_ViralProj14962_genomic.fna,4113,4113,/Users/gboldirev1/Documents/refseq/12913_NC_001278_blast.xml,0,0,0,0,0,0,0,0,4113,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12913_NC_001278_blast_subject_array_1748966451.bin
12914,NC_001317,2681630,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/500/715/GCF_001500715.1_ViralProj307774,GCF_001500715.1_ViralProj307774_genomic.fna,30624,30624,/Users/gboldirev1/Documents/refseq/12914_NC_001317_blast.xml,0,0,0,0,0,0,0,0,30624,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/12914_NC_001317_blast_subject_array_1748966451.bin
