Index	Sequence ID	Virus Tax ID	FTP Path	RefSeq Filename
10240	MT263075	551003	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/725/GCF_002828725.1_ASM282872v1	GCF_002828725.1_ASM282872v1_genomic.fna
10992	MT892648	260374	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/125/GCF_002828125.1_ASM282812v1	GCF_002828125.1_ASM282812v1_genomic.fna
11107	MW035311	186643	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/685/GCF_002828685.1_ASM282868v1	GCF_002828685.1_ASM282868v1_genomic.fna
11412	MW314143	190503	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/265/GCF_002829265.1_ASM282926v1	GCF_002829265.1_ASM282926v1_genomic.fna
12067	MZ066625	1074428	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/817/275/GCF_002817275.1_ASM281727v1	GCF_002817275.1_ASM281727v1_genomic.fna
12155	MZ130936	255520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/988/035/GCF_002988035.1_ASM298803v1	GCF_002988035.1_ASM298803v1_genomic.fna
12266	MZ291906	51617	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/817/775/GCF_002817775.1_ASM281777v1	GCF_002817775.1_ASM281777v1_genomic.fna
12880	NC_000852	10506	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/045/GCF_000847045.1_ViralProj14564	GCF_000847045.1_ViralProj14564_genomic.fna
12881	NC_000855	1147160	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/505/GCF_000856505.1_ViralProj15017	GCF_000856505.1_ViralProj15017_genomic.fna
12882	NC_000858	194440	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/125/GCF_000861125.1_ViralProj15439	GCF_000861125.1_ViralProj15439_genomic.fna
12883	NC_000866	2681598	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/945/GCF_000836945.1_ViralProj14044	GCF_000836945.1_ViralProj14044_genomic.fna
12884	NC_000867	2905728	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/840/405/GCF_000840405.1_ViralProj14237	GCF_000840405.1_ViralProj14237_genomic.fna
12887	NC_000871	2905685	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/445/GCF_000839445.1_ViralProj14045	GCF_000839445.1_ViralProj14045_genomic.fna
12888	NC_000872	2905688	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/365/GCF_000837365.1_ViralProj14133	GCF_000837365.1_ViralProj14133_genomic.fna
12889	NC_000874	94290	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/525/GCF_000861525.1_ViralProj15363	GCF_000861525.1_ViralProj15363_genomic.fna
12890	NC_000882	83839	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/585/GCF_000838585.1_ViralProj14046	GCF_000838585.1_ViralProj14046_genomic.fna
12891	NC_000883	10798	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/645/GCF_000839645.1_ViralProj14090	GCF_000839645.1_ViralProj14090_genomic.fna
12892	NC_000885	100785	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/855/405/GCF_000855405.1_ViralProj14973	GCF_000855405.1_ViralProj14973_genomic.fna
12893	NC_000896	12417	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/805/GCF_000848805.1_ViralProj14588	GCF_000848805.1_ViralProj14588_genomic.fna
12894	NC_000898	32604	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/846/365/GCF_000846365.1_ViralProj14422	GCF_000846365.1_ViralProj14422_genomic.fna
12896	NC_000902	97081	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/844/925/GCF_000844925.1_ViralProj14480	GCF_000844925.1_ViralProj14480_genomic.fna
12897	NC_000903	103603	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/265/GCF_000849265.1_ViralProj14689	GCF_000849265.1_ViralProj14689_genomic.fna
12898	NC_000924	10730	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/725/GCF_000837725.1_ViralProj14043	GCF_000837725.1_ViralProj14043_genomic.fna
12899	NC_000929	2681603	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/225/GCF_000837225.1_ViralProj14105	GCF_000837225.1_ViralProj14105_genomic.fna
12900	NC_000935	2682836	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/745/GCF_000837745.1_ViralProj14047	GCF_000837745.1_ViralProj14047_genomic.fna
12901	NC_000936	97344	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/785/GCF_000838785.1_ViralProj14091	GCF_000838785.1_ViralProj14091_genomic.fna
12902	NC_000939	44562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/825/GCF_000859825.1_ViralProj15185	GCF_000859825.1_ViralProj15185_genomic.fna
12903	NC_000940	2849715	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/945/GCF_000849945.1_ViralProj14653	GCF_000849945.1_ViralProj14653_genomic.fna
12905	NC_000943	11079	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/565/GCF_000863565.1_ViralProj15430	GCF_000863565.1_ViralProj15430_genomic.fna
12906	NC_000947	79917	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/265/GCF_000863265.1_ViralProj15365	GCF_000863265.1_ViralProj15365_genomic.fna
12907	NC_000960	106962	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/850/125/GCF_000850125.1_ViralProj14690	GCF_000850125.1_ViralProj14690_genomic.fna
12908	NC_001132	10273	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/843/685/GCF_000843685.1_ViralProj14396	GCF_000843685.1_ViralProj14396_genomic.fna
12909	NC_001265	11986	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/854/705/GCF_000854705.1_ViralProj14993	GCF_000854705.1_ViralProj14993_genomic.fna
12910	NC_001266	10271	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/965/GCF_000847965.1_ViralProj14590	GCF_000847965.1_ViralProj14590_genomic.fna
12911	NC_001270	93224	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/525/GCF_000838525.1_ViralProj14032	GCF_000838525.1_ViralProj14032_genomic.fna
12912	NC_001271	110457	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/165/GCF_000847165.1_ViralProj14591	GCF_000847165.1_ViralProj14591_genomic.fna
12913	NC_001278	111470	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/245/GCF_000856245.1_ViralProj14962	GCF_000856245.1_ViralProj14962_genomic.fna
12914	NC_001317	2681630	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/500/715/GCF_001500715.1_ViralProj307774	GCF_001500715.1_ViralProj307774_genomic.fna
12915	NC_001330	10849	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/846/145/GCF_000846145.1_ViralProj14570	GCF_000846145.1_ViralProj14570_genomic.fna
12916	NC_001331	2011081	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/025/GCF_000847025.1_ViralProj14571	GCF_000847025.1_ViralProj14571_genomic.fna
12917	NC_001332	10869	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/885/GCF_000847885.1_ViralProj14572	GCF_000847885.1_ViralProj14572_genomic.fna
12918	NC_001335	31757	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/846/545/GCF_000846545.1_ViralProj14459	GCF_000846545.1_ViralProj14459_genomic.fna
12919	NC_001338	244589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/445/GCF_000838445.1_ViralProj14014	GCF_000838445.1_ViralProj14014_genomic.fna
12920	NC_001339	12142	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/864/965/GCF_000864965.1_ViralProj15517	GCF_000864965.1_ViralProj15517_genomic.fna
12921	NC_001340	12895	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/854/585/GCF_000854585.1_ViralProj14967	GCF_000854585.1_ViralProj14967_genomic.fna
12922	NC_001341	1977403	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/085/GCF_000847085.1_ViralProj14573	GCF_000847085.1_ViralProj14573_genomic.fna
12923	NC_001343	10653	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/585/GCF_000849585.1_ViralProj14575	GCF_000849585.1_ViralProj14575_genomic.fna
12924	NC_001344	12639	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/905/GCF_000847905.1_ViralProj14576	GCF_000847905.1_ViralProj14576_genomic.fna
12925	NC_001346	268316	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/105/GCF_000847105.2_ViralProj14577	GCF_000847105.2_ViralProj14577_genomic.fna
12926	NC_001348	10335	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/858/285/GCF_000858285.1_ViralProj15198	GCF_000858285.1_ViralProj15198_genomic.fna
12927	NC_001350	10381	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/845/465/GCF_000845465.1_ViralProj14417	GCF_000845465.1_ViralProj14417_genomic.fna
12928	NC_001351	12893	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/785/GCF_000847785.1_ViralProj14720	GCF_000847785.1_ViralProj14720_genomic.fna
12929	NC_001352	337043	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/864/945/GCF_000864945.1_ViralProj15512	GCF_000864945.1_ViralProj15512_genomic.fna
12930	NC_001354	10589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/845/GCF_000863845.1_ViralProj15485	GCF_000863845.1_ViralProj15485_genomic.fna
12931	NC_001355	10600	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/945/GCF_000861945.1_ViralProj15454	GCF_000861945.1_ViralProj15454_genomic.fna
12932	NC_001356	334203	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/866/405/GCF_000866405.1_ViralProj15491	GCF_000866405.1_ViralProj15491_genomic.fna
12933	NC_001357	333761	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/665/GCF_000865665.1_ViralProj15506	GCF_000865665.1_ViralProj15506_genomic.fna
12934	NC_001359	223303	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/505/GCF_000839505.1_ViralMultiSegProj14059	GCF_000839505.1_ViralMultiSegProj14059_genomic.fna
12935	NC_001361	12167	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/860/585/GCF_000860585.1_ViralProj15324	GCF_000860585.1_ViralProj15324_genomic.fna
12936	NC_001362	11795	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/065/GCF_000859065.1_ViralProj15200	GCF_000859065.1_ViralProj15200_genomic.fna
12937	NC_001364	2170203	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/485/GCF_000848485.1_ViralProj14699	GCF_000848485.1_ViralProj14699_genomic.fna
12938	NC_001365	10854	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/925/GCF_000847925.1_ViralProj14580	GCF_000847925.1_ViralProj14580_genomic.fna
12939	NC_001366	204711	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/185/GCF_000861185.1_ViralProj15292	GCF_000861185.1_ViralProj15292_genomic.fna
12940	NC_001367	12242	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/854/365/GCF_000854365.1_ViralProj15071	GCF_000854365.1_ViralProj15071_genomic.fna
12943	NC_001396	2928691	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/842/465/GCF_000842465.1_ViralProj14329	GCF_000842465.1_ViralProj14329_genomic.fna
12944	NC_001401	10804	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/645/GCF_000838645.1_ViralProj14060	GCF_000838645.1_ViralProj14060_genomic.fna
12945	NC_001402	11958	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/005/GCF_000849005.1_ViralProj14632	GCF_000849005.1_ViralProj14632_genomic.fna
12946	NC_001403	11885	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/725/GCF_000847725.1_ViralProj14708	GCF_000847725.1_ViralProj14708_genomic.fna
12947	NC_001405	129951	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/845/085/GCF_000845085.1_ViralProj14518	GCF_000845085.1_ViralProj14518_genomic.fna
12948	NC_001407	11886	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/855/425/GCF_000855425.1_ViralProj14978	GCF_000855425.1_ViralProj14978_genomic.fna
12949	NC_001408	363745	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/845/GCF_000849845.1_ViralProj14633	GCF_000849845.1_ViralProj14633_genomic.fna
12950	NC_001409	12175	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/285/GCF_000848285.1_ViralProj14658	GCF_000848285.1_ViralProj14658_genomic.fna
12951	NC_001410	12896	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/853/625/GCF_000853625.1_ViralProj14908	GCF_000853625.1_ViralProj14908_genomic.fna
12953	NC_001412	10840	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/843/505/GCF_000843505.1_ViralProj14366	GCF_000843505.1_ViralProj14366_genomic.fna
12954	NC_001413	11657	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/165/GCF_000848165.1_ViralProj14634	GCF_000848165.1_ViralProj14634_genomic.fna
12955	NC_001414	11901	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/853/665/GCF_000853665.1_ViralProj14916	GCF_000853665.1_ViralProj14916_genomic.fna
12956	NC_001416	2681611	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/840/245/GCF_000840245.1_ViralProj14204	GCF_000840245.1_ViralProj14204_genomic.fna
12957	NC_001417	12022	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/485/GCF_000847485.1_ViralProj14659	GCF_000847485.1_ViralProj14659_genomic.fna
12959	NC_001420	10843	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/840/785/GCF_000840785.1_ViralProj14318	GCF_000840785.1_ViralProj14318_genomic.fna
12960	NC_001421	10658	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/025/GCF_000837025.1_ViralProj14062	GCF_000837025.1_ViralProj14062_genomic.fna
12961	NC_001422	2886930	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/819/615/GCF_000819615.1_ViralProj14015	GCF_000819615.1_ViralProj14015_genomic.fna
12962	NC_001423	10757	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/755/075/GCF_002755075.1_ASM275507v1	GCF_002755075.1_ASM275507v1_genomic.fna
12963	NC_001426	12018	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/365/GCF_000847365.1_ViralProj14635	GCF_000847365.1_ViralProj14635_genomic.fna
12964	NC_001427	12618	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/864/805/GCF_000864805.1_ViralProj15484	GCF_000864805.1_ViralProj15484_genomic.fna
12965	NC_001430	138951	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/205/GCF_000861205.1_ViralProj15297	GCF_000861205.1_ViralProj15297_genomic.fna
12967	NC_001436	11908	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/585/GCF_000863585.1_ViralProj15434	GCF_000863585.1_ViralProj15434_genomic.fna
12968	NC_001437	11072	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/145/GCF_000862145.1_ViralProj15310	GCF_000862145.1_ViralProj15310_genomic.fna
12972	NC_001441	12180	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/125/GCF_000849125.1_ViralProj14660	GCF_000849125.1_ViralProj14660_genomic.fna
12973	NC_001442	1891754	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/825/GCF_000836825.1_ViralProj14017	GCF_000836825.1_ViralProj14017_genomic.fna
12974	NC_001445	12211	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/085/GCF_000862085.1_ViralProj15298	GCF_000862085.1_ViralProj15298_genomic.fna
12975	NC_001447	46014	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/825/GCF_000837825.1_ViralProj14066	GCF_000837825.1_ViralProj14066_genomic.fna
12979	NC_001452	2169971	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/025/GCF_000849025.1_ViralProj14636	GCF_000849025.1_ViralProj14636_genomic.fna
12980	NC_001454	130309	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/846/685/GCF_000846685.1_ViralProj14487	GCF_000846685.1_ViralProj14487_genomic.fna
12981	NC_001457	10617	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/864/845/GCF_000864845.1_ViralProj15492	GCF_000864845.1_ViralProj15492_genomic.fna
12982	NC_001458	28311	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/565/GCF_000865565.1_ViralProj15486	GCF_000865565.1_ViralProj15486_genomic.fna
12984	NC_001461	11099	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/245/GCF_000861245.1_ViralProj15305	GCF_000861245.1_ViralProj15305_genomic.fna
12985	NC_001462	36453	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/145/GCF_000848145.1_ViralProj14629	GCF_000848145.1_ViralProj14629_genomic.fna
12986	NC_001463	11660	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/525/GCF_000857525.1_ViralProj15243	GCF_000857525.1_ViralProj15243_genomic.fna
12987	NC_001464	12890	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/865/GCF_000849865.1_ViralProj14637	GCF_000849865.1_ViralProj14637_genomic.fna
12988	NC_001465	1458187	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/045/GCF_000837045.1_ViralProj14067	GCF_000837045.1_ViralProj14067_genomic.fna
12989	NC_001466	10820	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/545/GCF_000839545.1_ViralProj14068	GCF_000839545.1_ViralProj14068_genomic.fna
12992	NC_001469	12143	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/185/GCF_000848185.1_ViralProj14638	GCF_000848185.1_ViralProj14638_genomic.fna
12993	NC_001471	12889	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/305/GCF_000848305.1_ViralProj14662	GCF_000848305.1_ViralProj14662_genomic.fna
12994	NC_001472	138949	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/325/GCF_000861325.1_ViralProj15321	GCF_000861325.1_ViralProj15321_genomic.fna
12995	NC_001474	11060	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/871/845/GCF_000871845.1_ViralProj20183	GCF_000871845.1_ViralProj20183_genomic.fna
12996	NC_001475	11069	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/866/625/GCF_000866625.1_ViralProj15598	GCF_000866625.1_ViralProj15598_genomic.fna
12997	NC_001477	11053	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/125/GCF_000862125.1_ViralProj15306	GCF_000862125.1_ViralProj15306_genomic.fna
12998	NC_001478	10837	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/685/GCF_000838685.1_ViralProj14069	GCF_000838685.1_ViralProj14069_genomic.fna
12999	NC_001479	12104	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/985/GCF_000862985.1_ViralProj15307	GCF_000862985.1_ViralProj15307_genomic.fna
13000	NC_001480	12151	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/385/GCF_000847385.1_ViralProj14639	GCF_000847385.1_ViralProj14639_genomic.fna
13002	NC_001482	11673	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/854/865/GCF_000854865.1_ViralProj15029	GCF_000854865.1_ViralProj15029_genomic.fna
13003	NC_001483	12179	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/045/GCF_000849045.1_ViralProj14640	GCF_000849045.1_ViralProj14640_genomic.fna
13004	NC_001484	10406	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/845/GCF_000837845.1_ViralProj14070	GCF_000837845.1_ViralProj14070_genomic.fna
13005	NC_001486	28300	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/965/GCF_000861965.1_ViralProj15458	GCF_000861965.1_ViralProj15458_genomic.fna
13006	NC_001488	11909	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/505/GCF_000847505.1_ViralProj14663	GCF_000847505.1_ViralProj14663_genomic.fna
13007	NC_001489	12092	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/860/505/GCF_000860505.1_ViralProj15308	GCF_000860505.1_ViralProj15308_genomic.fna
13008	NC_001490	12131	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/265/GCF_000861265.1_ViralProj15309	GCF_000861265.1_ViralProj15309_genomic.fna
13009	NC_001491	10326	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/844/025/GCF_000844025.1_ViralProj14465	GCF_000844025.1_ViralProj14465_genomic.fna
13010	NC_001492	40281	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/849/145/GCF_000849145.1_ViralProj14664	GCF_000849145.1_ViralProj14664_genomic.fna
13011	NC_001493	10401	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/325/GCF_000839325.1_ViralProj14018	GCF_000839325.1_ViralProj14018_genomic.fna
13012	NC_001494	11746	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/850/005/GCF_000850005.1_ViralProj14665	GCF_000850005.1_ViralProj14665_genomic.fna
