,division,assembly,bioproject,organism_name,infraspecific_name,#assembly_accession,genome_size,fasta_filename,downloaded_filename,query_length,subject_length,blast_output
,1069680,GCA_000349005.2,PRJNA245145,Pneumocystis murina B123,strain=B123,GCF_000349005.2,7501343,Pneumocystis_murina_b123_gca_000349005.Pneumo_murina_B123_V4.dna.toplevel.fa,GCF_000349005.2_Pneumo_murina_B123_V4_genomic.fna.gz, 7501343, 7501343,Pneumocystis_murina_b123_gca_000349005.Pneumo_murina_B123_V4.dna.toplevel.fa_vs_GCF_000349005.2_Pneumo_murina_B123_V4_genomic.fna_blast.xml
,1073089,GCA_001890725.1,PRJNA721995,Aspergillus wentii DTO 134E9,strain=DTO 134E9,GCF_001890725.1,31350635,Aspergillus_wentii_dto_134e9_gca_001890725.Aspwe1.dna.toplevel.fa,GCF_001890725.1_Aspwe1_genomic.fna.gz, 31350635, 31350635,Aspergillus_wentii_dto_134e9_gca_001890725.Aspwe1.dna.toplevel.fa_vs_GCF_001890725.1_Aspwe1_genomic.fna_blast.xml
,1073090,GCA_001890105.1,PRJNA395482,Penicilliopsis zonata CBS 506.65,strain=CBS 506.65,GCF_001890105.1,26088231,Penicilliopsis_zonata_cbs_506_65_gca_001890105.Aspzo1.dna.toplevel.fa,GCF_001890105.1_Aspzo1_genomic.fna.gz, 26088231, 26088231,Penicilliopsis_zonata_cbs_506_65_gca_001890105.Aspzo1.dna.toplevel.fa_vs_GCF_001890105.1_Aspzo1_genomic.fna_blast.xml
,1080233,GCA_010093935.1,PRJNA625780,Zasmidium cellare ATCC 36951,strain=ATCC 36951,GCF_010093935.1,38247703,Zasmidium_cellare_atcc_36951_gca_010093935.Zasce1.dna.toplevel.fa,GCF_010093935.1_Zasce1_genomic.fna.gz, 38247703, 38247703,Zasmidium_cellare_atcc_36951_gca_010093935.Zasce1.dna.toplevel.fa_vs_GCF_010093935.1_Zasce1_genomic.fna_blast.xml
,1080349,GCA_001298625.1,PRJNA342694,Saccharomyces eubayanus,strain=FM1318,GCF_001298625.1,11670174,Saccharomyces_eubayanus_gca_001298625.SEUB3.0.dna.toplevel.fa,GCF_001298625.1_SEUB3.0_genomic.fna.gz, 11734173, 11734173,Saccharomyces_eubayanus_gca_001298625.SEUB3.0.dna.toplevel.fa_vs_GCF_001298625.1_SEUB3.0_genomic.fna_blast.xml
,1089451,GCA_000260195.2,PRJNA309638,Fusarium odoratissimum NRRL 54006,strain=54006,GCF_000260195.1,46553780,Fusarium_odoratissimum_nrrl_54006_gca_000260195.FO_II5_V1.dna.toplevel.fa,GCF_000260195.1_FO_II5_V1_genomic.fna.gz, 46553780, 46553780,Fusarium_odoratissimum_nrrl_54006_gca_000260195.FO_II5_V1.dna.toplevel.fa_vs_GCF_000260195.1_FO_II5_V1_genomic.fna_blast.xml
,109264,GCA_001792695.1,PRJNA395481,Aspergillus bombycis,strain=NRRL26010,GCF_001792695.1,37474605,Aspergillus_bombycis_gca_001792695.ASM179269v1.dna.toplevel.fa,GCF_001792695.1_ASM179269v1_genomic.fna.gz, 37474605, 37474605,Aspergillus_bombycis_gca_001792695.ASM179269v1.dna.toplevel.fa_vs_GCF_001792695.1_ASM179269v1_genomic.fna_blast.xml
,1093900,GCA_004353045.1,PRJNA576244,Thyridium curvatum,strain=D216,GCF_004353045.1,40366568,Phialemoniopsis_curvata_gca_004353045.ASM435304v1.dna.toplevel.fa,GCF_004353045.1_ASM435304v1_genomic.fna.gz, 40366568, 40366568,Phialemoniopsis_curvata_gca_004353045.ASM435304v1.dna.toplevel.fa_vs_GCF_004353045.1_ASM435304v1_genomic.fna_blast.xml
,1095630,GCA_002865645.1,PRJNA453592,Hyaloscypha bicolor E,strain=E,GCF_002865645.1,82384847,Hyaloscypha_bicolor_e_gca_002865645.Melbi2.dna.toplevel.fa,GCF_002865645.1_Melbi2_genomic.fna.gz, 82384847, 82384847,Hyaloscypha_bicolor_e_gca_002865645.Melbi2.dna.toplevel.fa_vs_GCF_002865645.1_Melbi2_genomic.fna_blast.xml
,112498,GCA_900074925.1,PRJNA430539,Ramularia collo-cygni,strain=URUG2,GCF_900074925.1,32254922,Ramularia_collo_cygni_gca_900074925.version_1.dna.toplevel.fa,GCF_900074925.1_version_1_genomic.fna.gz, 32254922, 32254922,Ramularia_collo_cygni_gca_900074925.version_1.dna.toplevel.fa_vs_GCF_900074925.1_version_1_genomic.fna_blast.xml
,1130832,GCA_000320785.2,PRJNA264108,Rhodotorula toruloides NP11,strain=NP11,GCF_000320785.1,20223942,Rhodotorula_toruloides_np11_gca_000320785.RHOziaDV1.0.dna.toplevel.fa,GCF_000320785.1_RHOziaDV1.0_genomic.fna.gz, 20223942, 20223942,Rhodotorula_toruloides_np11_gca_000320785.RHOziaDV1.0.dna.toplevel.fa_vs_GCF_000320785.1_RHOziaDV1.0_genomic.fna_blast.xml
,1136231,GCA_000315875.1,PRJNA172186,Candida orthopsilosis Co 90-125,strain=Co 90-125,GCF_000315875.1,12659401,Candida_orthopsilosis_co_90_125_gca_000315875.ASM31587v1.dna.toplevel.fa,GCF_000315875.1_ASM31587v1_genomic.fna.gz, 12659401, 12659401,Candida_orthopsilosis_co_90_125_gca_000315875.ASM31587v1.dna.toplevel.fa_vs_GCF_000315875.1_ASM31587v1_genomic.fna_blast.xml
,1141098,GCA_002105095.1,PRJNA721998,Pseudomassariella vexata,strain=CBS 129021,GCF_002105095.1,44711451,Pseudomassariella_vexata_gca_002105095.Pseve2.dna.toplevel.fa,GCF_002105095.1_Pseve2_genomic.fna.gz, 44711451, 44711451,Pseudomassariella_vexata_gca_002105095.Pseve2.dna.toplevel.fa_vs_GCF_002105095.1_Pseve2_genomic.fna_blast.xml
,1150837,GCA_010094145.1,PRJNA625768,Didymella exigua CBS 183.55,strain=CBS 183.55,GCF_010094145.1,34389227,Didymella_exigua_cbs_183_55_gca_010094145.Didex1.dna.toplevel.fa,GCF_010094145.1_Didex1_genomic.fna.gz, 34389227, 34389227,Didymella_exigua_cbs_183_55_gca_010094145.Didex1.dna.toplevel.fa_vs_GCF_010094145.1_Didex1_genomic.fna_blast.xml
,1159556,GCA_000687475.1,PRJNA756324,Ustilaginoidea virens,strain=UV-8b,GCF_000687475.1,37060086,Ustilaginoidea_virens_gca_000687475.Assembly_for_version_1_of_the_Villosiclava_virens_genome.dna.toplevel.fa,GCF_000687475.1_ASM68747v2_genomic.fna.gz, 39397682, 37158136,Ustilaginoidea_virens_gca_000687475.Assembly_for_version_1_of_the_Villosiclava_virens_genome.dna.toplevel.fa_vs_GCF_000687475.1_ASM68747v2_genomic.fna_blast.xml
,1159556,GCA_000965225.2,PRJNA756324,Ustilaginoidea virens,strain=UV-8b,GCF_000687475.1,37060086,Ustilaginoidea_virens_gca_000965225.ASM96522v2.dna.toplevel.fa,GCF_000687475.1_ASM68747v2_genomic.fna.gz, 33567624, 37158136,Ustilaginoidea_virens_gca_000965225.ASM96522v2.dna.toplevel.fa_vs_GCF_000687475.1_ASM68747v2_genomic.fna_blast.xml
,1160497,GCA_001890805.1,PRJNA395483,Aspergillus glaucus CBS 516.65,strain=CBS 516.65,GCF_001890805.1,27993362,Aspergillus_glaucus_cbs_516_65_gca_001890805.Aspgl1.dna.toplevel.fa,GCF_001890805.1_Aspgl1_genomic.fna.gz, 27993362, 27993362,Aspergillus_glaucus_cbs_516_65_gca_001890805.Aspgl1.dna.toplevel.fa_vs_GCF_001890805.1_Aspgl1_genomic.fna_blast.xml
,1168221,GCA_000281105.1,PRJNA245130,Coniosporium apollinis CBS 100218,strain=CBS 100218,GCF_000281105.1,28645321,Coniosporium_apollinis_cbs_100218_gca_000281105.Coni_apol_CBS100218__V1.dna.toplevel.fa,GCF_000281105.1_Coni_apol_CBS100218_V1_genomic.fna.gz, 28645321, 28645321,Coniosporium_apollinis_cbs_100218_gca_000281105.Coni_apol_CBS100218__V1.dna.toplevel.fa_vs_GCF_000281105.1_Coni_apol_CBS100218_V1_genomic.fna_blast.xml
,1176127,GCA_010093885.1,PRJNA625763,Aplosporella prunicola CBS 121167,strain=CBS 121167,GCF_010093885.1,32818685,Aplosporella_prunicola_cbs_121167_gca_010093885.Aplpr1.dna.toplevel.fa,GCF_010093885.1_Aplpr1_genomic.fna.gz, 32818685, 32818685,Aplosporella_prunicola_cbs_121167_gca_010093885.Aplpr1.dna.toplevel.fa_vs_GCF_010093885.1_Aplpr1_genomic.fna_blast.xml
,1178016,GCA_000280035.2,PRJNA215743,Encephalitozoon romaleae SJ-2008,strain=SJ-2008,GCF_000280035.1,2187595,Encephalitozoon_romaleae_sj_2008_gca_000280035.ASM28003v2.dna.toplevel.fa,GCF_000280035.1_ASM28003v2_genomic.fna.gz, 2187595, 2187595,Encephalitozoon_romaleae_sj_2008_gca_000280035.ASM28003v2.dna.toplevel.fa_vs_GCF_000280035.1_ASM28003v2_genomic.fna_blast.xml
,1182541,GCA_000585585.1,PRJNA245124,Capronia coronata CBS 617.96,strain=CBS 617.96,GCF_000585585.1,25807613,Capronia_coronata_cbs_617_96_gca_000585585.Capr_coro_CBS_617_96_V1.dna.toplevel.fa,GCF_000585585.1_Capr_coro_CBS_617_96_V1_genomic.fna.gz, 25807613, 25807613,Capronia_coronata_cbs_617_96_gca_000585585.Capr_coro_CBS_617_96_V1.dna.toplevel.fa_vs_GCF_000585585.1_Capr_coro_CBS_617_96_V1_genomic.fna_blast.xml
,1182542,GCA_000585565.1,PRJNA245125,Capronia epimyces CBS 606.96,strain=CBS 606.96,GCF_000585565.1,28889638,Capronia_epimyces_cbs_606_96_gca_000585565.Capr_epim_CBS_606_96_V1.dna.toplevel.fa,GCF_000585565.1_Capr_epim_CBS_606_96_V1_genomic.fna.gz, 28889638, 28889638,Capronia_epimyces_cbs_606_96_gca_000585565.Capr_epim_CBS_606_96_V1.dna.toplevel.fa_vs_GCF_000585565.1_Capr_epim_CBS_606_96_V1_genomic.fna_blast.xml
,1182543,GCA_000585535.1,PRJNA245127,Cladophialophora psammophila CBS 110553,strain=CBS 110553,GCF_000585535.1,39420127,Cladophialophora_psammophila_cbs_110553_gca_000585535.Clad_psam_CBS_110553_V1.dna.toplevel.fa,GCF_000585535.1_Clad_psam_CBS_110553_V1_genomic.fna.gz, 39420127, 39420127,Cladophialophora_psammophila_cbs_110553_gca_000585535.Clad_psam_CBS_110553_V1.dna.toplevel.fa_vs_GCF_000585535.1_Clad_psam_CBS_110553_V1_genomic.fna_blast.xml
,1182544,GCA_000585515.1,PRJNA245128,Cladophialophora yegresii CBS 114405,strain=CBS 114405,GCF_000585515.1,27898422,Cladophialophora_yegresii_cbs_114405_gca_000585515.Clad_yegr_CBS_114405_V1.dna.toplevel.fa,GCF_000585515.1_Clad_yegr_CBS_114405_V1_genomic.fna.gz, 27898422, 27898422,Cladophialophora_yegresii_cbs_114405_gca_000585515.Clad_yegr_CBS_114405_V1.dna.toplevel.fa_vs_GCF_000585515.1_Clad_yegr_CBS_114405_V1_genomic.fna_blast.xml
,1182545,GCA_000709125.1,PRJNA292601,Exophiala aquamarina CBS 119918,strain=CBS 119918,GCF_000709125.1,41566958,Exophiala_aquamarina_cbs_119918_gca_000709125.Exop_aqua_CBS_119918_V1.dna.toplevel.fa,GCF_000709125.1_Exop_aqua_CBS_119918_V1_genomic.fna.gz, 41566958, 41566958,Exophiala_aquamarina_cbs_119918_gca_000709125.Exop_aqua_CBS_119918_V1.dna.toplevel.fa_vs_GCF_000709125.1_Exop_aqua_CBS_119918_V1_genomic.fna_blast.xml
,1196081,GCA_001896365.1,PRJNA721996,Talaromyces amestolkiae,strain=CIB,GCF_001896365.1,33721883,Talaromyces_amestolkiae_gca_001896365.ASM189636v1.dna.toplevel.fa,GCF_001896365.1_ASM189636v1_genomic.fna.gz, 33721883, 33721883,Talaromyces_amestolkiae_gca_001896365.ASM189636v1.dna.toplevel.fa_vs_GCF_001896365.1_ASM189636v1_genomic.fna_blast.xml
,120017,GCA_000286035.1,PRJNA727466,Ustilago hordei,strain=Uho2,GCF_900519145.1,26637005,Ustilago_hordei_gca_000286035.ASM28603v1.dna.toplevel.fa,GCF_900519145.1_Uho2_v1_genomic.fna.gz, 21150702, 26637005,Ustilago_hordei_gca_000286035.ASM28603v1.dna.toplevel.fa_vs_GCF_900519145.1_Uho2_v1_genomic.fna_blast.xml
,1209926,GCA_001831195.1,PRJNA411788,Colletotrichum orchidophilum,strain=IMI 309357,GCF_001831195.1,48556462,Colletotrichum_orchidophilum_gca_001831195.CORC01.dna.toplevel.fa,GCF_001831195.1_CORC01_genomic.fna.gz, 48556462, 48556462,Colletotrichum_orchidophilum_gca_001831195.CORC01.dna.toplevel.fa_vs_GCF_001831195.1_CORC01_genomic.fna_blast.xml
,121627,GCA_013368755.1,PRJNA645155,Talaromyces rugulosus,strain=W13939,GCF_013368755.1,35758560,Talaromyces_rugulosus_gca_013368755.ASM1336875v1.dna.toplevel.fa,GCF_013368755.1_ASM1336875v1_genomic.fna.gz, 35758560, 35758560,Talaromyces_rugulosus_gca_013368755.ASM1336875v1.dna.toplevel.fa_vs_GCF_013368755.1_ASM1336875v1_genomic.fna_blast.xml
,1220188,GCA_004798825.1,PRJNA625766,Aspergillus tanneri,strain=NIH1004,GCF_003426965.1,38719388,Aspergillus_tanneri_gca_004798825.ASM479882v1.dna.toplevel.fa,GCF_003426965.1_ASM342696v1_genomic.fna.gz, 36538212, 38719388,Aspergillus_tanneri_gca_004798825.ASM479882v1.dna.toplevel.fa_vs_GCF_003426965.1_ASM342696v1_genomic.fna_blast.xml
,1220188,GCA_003426965.1,PRJNA625766,Aspergillus tanneri,strain=NIH1004,GCF_003426965.1,38719388,Aspergillus_tanneri_gca_003426965.ASM342696v1.dna.toplevel.fa,GCF_003426965.1_ASM342696v1_genomic.fna.gz, 38719388, 38719388,Aspergillus_tanneri_gca_003426965.ASM342696v1.dna.toplevel.fa_vs_GCF_003426965.1_ASM342696v1_genomic.fna_blast.xml
,1220924,GCA_000365145.2,PRJNA245131,Cyphellophora europaea CBS 101466,strain=CBS 101466,GCF_000365145.1,28781303,Cyphellophora_europaea_cbs_101466_gca_000365145.Phia_euro_CBS_101466_V1.dna.toplevel.fa,GCF_000365145.1_Phia_euro_CBS_101466_V1_genomic.fna.gz, 28781303, 28781303,Cyphellophora_europaea_cbs_101466_gca_000365145.Phia_euro_CBS_101466_V1.dna.toplevel.fa_vs_GCF_000365145.1_Phia_euro_CBS_101466_V1_genomic.fna_blast.xml
,122368,GCA_002742065.1,PRJNA1120886,Cercospora beticola,na,GCF_033473495.1,36074111,Cercospora_beticola_gca_002742065.CB0940_V2.dna.toplevel.fa,GCF_033473495.1_ASM3347349v1_genomic.fna.gz, 37057033, 36074111,Cercospora_beticola_gca_002742065.CB0940_V2.dna.toplevel.fa_vs_GCF_033473495.1_ASM3347349v1_genomic.fna_blast.xml
,1227346,GCA_900067095.1,PRJNA576857,Fusarium proliferatum ET1,strain=ET1,GCF_900067095.1,45210324,Fusarium_proliferatum_et1_gca_900067095.F._proliferatum_ET1_version_1.dna.toplevel.fa,GCF_900067095.1_F._proliferatum_ET1_version_1_genomic.fna.gz, 45210324, 45210324,Fusarium_proliferatum_et1_gca_900067095.F._proliferatum_ET1_version_1.dna.toplevel.fa_vs_GCF_900067095.1_F._proliferatum_ET1_version_1_genomic.fna_blast.xml
,1230383,GCA_000349305.2,PRJNA264005,Malassezia sympodialis ATCC 42132,strain=ATCC 42132,GCF_000349305.1,7669689,Malassezia_sympodialis_atcc_42132_gca_000349305.ASM34930v2.dna.toplevel.fa,GCF_000349305.1_ASM34930v2_genomic.fna.gz, 7669689, 7669689,Malassezia_sympodialis_atcc_42132_gca_000349305.ASM34930v2.dna.toplevel.fa_vs_GCF_000349305.1_ASM34930v2_genomic.fna_blast.xml
,1230383,GCA_900149145.1,PRJNA264005,Malassezia sympodialis ATCC 42132,strain=ATCC 42132,GCF_000349305.1,7669689,Malassezia_sympodialis_atcc_42132_gca_900149145.Msy_ATCC_42132_Feb2016.dna.toplevel.fa,GCF_000349305.1_ASM34930v2_genomic.fna.gz, 7786082, 7669689,Malassezia_sympodialis_atcc_42132_gca_900149145.Msy_ATCC_42132_Feb2016.dna.toplevel.fa_vs_GCF_000349305.1_ASM34930v2_genomic.fna_blast.xml
,1231522,GCA_002926085.1,PRJNA479899,Candidozyma duobushaemuli,strain=B09383,GCF_002926085.2,12557957,Candida_duobushaemulonis.GCA002926085v1.dna.toplevel.fa,GCF_002926085.2_CanDuoHae_v1.0_genomic.fna.gz, 12580400, 12580400,Candida_duobushaemulonis.GCA002926085v1.dna.toplevel.fa_vs_GCF_002926085.2_CanDuoHae_v1.0_genomic.fna_blast.xml
,1245769,GCA_000938715.1,PRJNA413304,Lachancea lanzarotensis,strain=CBS 12615,GCF_000938715.1,11092131,Lachancea_lanzarotensis_gca_000938715.LALA0.dna.toplevel.fa,GCF_000938715.1_LALA0_genomic.fna.gz, 11092131, 11092131,Lachancea_lanzarotensis_gca_000938715.LALA0.dna.toplevel.fa_vs_GCF_000938715.1_LALA0_genomic.fna_blast.xml
,1263415,GCA_000464535.1,PRJNA245134,Endocarpon pusillum Z07020,strain=Z07020,GCF_000464535.1,37130611,Endocarpon_pusillum_z07020_gca_000464535.EPUS.dna.toplevel.fa,GCF_000464535.1_EPUS_genomic.fna.gz, 37130611, 37130611,Endocarpon_pusillum_z07020_gca_000464535.EPUS.dna.toplevel.fa_vs_GCF_000464535.1_EPUS_genomic.fna_blast.xml
,1277687,GCA_000417875.1,PRJNA245148,Pseudozyma flocculosa PF-1,strain=PF-1,GCF_000417875.1,23305380,Anthracocystis_flocculosa_pf_1_gca_000417875.Pflocc_1.0.dna.toplevel.fa,GCF_000417875.1_Pflocc_1.0_genomic.fna.gz, 23305380, 23305380,Anthracocystis_flocculosa_pf_1_gca_000417875.Pflocc_1.0.dna.toplevel.fa_vs_GCF_000417875.1_Pflocc_1.0_genomic.fna_blast.xml
,1279043,GCA_000365165.2,PRJNA245126,Cladophialophora carrionii CBS 160.54,strain=CBS 160.54,GCF_000365165.1,28991111,Cladophialophora_carrionii_cbs_160_54_gca_000365165.Clad_carr_CBS_160_54_V1.dna.toplevel.fa,GCF_000365165.1_Clad_carr_CBS_160_54_V1_genomic.fna.gz, 28991111, 28991111,Cladophialophora_carrionii_cbs_160_54_gca_000365165.Clad_carr_CBS_160_54_V1.dna.toplevel.fa_vs_GCF_000365165.1_Clad_carr_CBS_160_54_V1_genomic.fna_blast.xml
,1280837,GCA_003144205.1,PRJNA479903,Meira miltonrushii,strain=MCA 3882,GCF_003144205.1,17383515,Meira_miltonrushii_gca_003144205.Meimi1.dna.toplevel.fa,GCF_003144205.1_Meimi1_genomic.fna.gz, 17383515, 17383515,Meira_miltonrushii_gca_003144205.Meimi1.dna.toplevel.fa_vs_GCF_003144205.1_Meimi1_genomic.fna_blast.xml
,1286976,GCA_000392275.1,PRJNA245153,Phaeoacremonium minimum UCRPA7,strain=UCRPA7,GCF_000392275.1,47465449,Phaeoacremonium_minimum_ucrpa7_gca_000392275.UCRPA7V03.dna.toplevel.fa,GCF_000392275.1_UCRPA7V03_genomic.fna.gz, 47465449, 47465449,Phaeoacremonium_minimum_ucrpa7_gca_000392275.UCRPA7V03.dna.toplevel.fa_vs_GCF_000392275.1_UCRPA7V03_genomic.fna_blast.xml
,1295528,GCA_001720155.1,PRJNA352843,Cryptococcus wingfieldii CBS 7118,strain=CBS 7118,GCF_001720155.1,19969799,Cryptococcus_wingfieldii_cbs_7118_gca_001720155.Tsuc_wing_CBS7118_V1.dna.toplevel.fa,GCF_001720155.1_Tsuc_wing_CBS7118_V1_genomic.fna.gz, 19969799, 19969799,Cryptococcus_wingfieldii_cbs_7118_gca_001720155.Tsuc_wing_CBS7118_V1.dna.toplevel.fa_vs_GCF_001720155.1_Tsuc_wing_CBS7118_V1_genomic.fna_blast.xml
,1295533,GCA_001720205.1,PRJNA352837,Cryptococcus amylolentus CBS 6039,strain=CBS 6039,GCF_001720205.1,20254996,Cryptococcus_amylolentus_cbs_6039_gca_001720205.Cryp_amyl_CBS6039_V3.dna.toplevel.fa,GCF_001720205.1_Cryp_amyl_CBS6039_V3_genomic.fna.gz, 20254996, 20254996,Cryptococcus_amylolentus_cbs_6039_gca_001720205.Cryp_amyl_CBS6039_V3.dna.toplevel.fa_vs_GCF_001720205.1_Cryp_amyl_CBS6039_V3_genomic.fna_blast.xml
,1296105,GCA_000835755.1,PRJNA1140275,Cryptococcus tetragattii IND107,strain=IND107,GCF_000835755.1,17799622,Cryptococcus_gattii_vgiv_ind107_gca_000835755.Cryp_gatt_IND107_V2.dna.toplevel.fa,GCF_000835755.1_ASM83575v2_genomic.fna.gz, 17649378, 17799622,Cryptococcus_gattii_vgiv_ind107_gca_000835755.Cryp_gatt_IND107_V2.dna.toplevel.fa_vs_GCF_000835755.1_ASM83575v2_genomic.fna_blast.xml
,1296122,GCA_000507465.3,PRJNA352839,Kwoniella mangroviensis CBS 8507,strain=CBS 8507,GCF_000507465.2,22796923,Kwoniella_mangroviensis_cbs_8507_gca_000507465.Kwon_mang_CBS8507_V2.dna.toplevel.fa,GCF_000507465.2_ASM50746v4_genomic.fna.gz, 22654511, 22796923,Kwoniella_mangroviensis_cbs_8507_gca_000507465.Kwon_mang_CBS8507_V2.dna.toplevel.fa_vs_GCF_000507465.2_ASM50746v4_genomic.fna_blast.xml
,1299270,GCA_000400465.1,PRJNA215734,Wallemia ichthyophaga EXF-994,strain=EXF-994,GCF_000400465.1,9655632,Wallemia_ichthyophaga_exf_994_gca_000400465.Wallemia_ichthyophaga_version_1.0.dna.toplevel.fa,GCF_000400465.1_Wallemia_ichthyophaga_version_1.0_genomic.fna.gz, 9655632, 9655632,Wallemia_ichthyophaga_exf_994_gca_000400465.Wallemia_ichthyophaga_version_1.0.dna.toplevel.fa_vs_GCF_000400465.1_Wallemia_ichthyophaga_version_1.0_genomic.fna_blast.xml
,1305764,GCA_000403515.1,PRJNA264001,Pseudozyma hubeiensis SY62,strain=SY62,GCF_000403515.1,18442938,Pseudozyma_hubeiensis_sy62_gca_000403515.ASM40351v1.dna.toplevel.fa,GCF_000403515.1_ASM40351v1_genomic.fna.gz, 18442938, 18442938,Pseudozyma_hubeiensis_sy62_gca_000403515.ASM40351v1.dna.toplevel.fa_vs_GCF_000403515.1_ASM40351v1_genomic.fna_blast.xml
